id	area	category	verdict	severity	file:line	title	lane
backend-rest-4	backend-rest	security	confirmed	medium	backend/migrations/0016_catalog_show_episodes.sql:11	Catalog and pipeline tables have no RLS, so on Supabase the public anon key can insert or modify catalogue episodes	L6-backend-rest
backend-rest-1	backend-rest	correctness	confirmed	medium	backend/src/feeds/html.ts:39	parseFeed throws on an out-of-range numeric entity, so a show's episode page returns HTTP 500 in production	L6-backend-rest
ci-release-4	ci-release	correctness	confirmed	medium	.github/workflows/release.yml:177	The build number is not monotonic: the run_number wrap (99 -> 1) on the same UTC day makes both stores reject every later release that day, and then the retry budget stops the trigger	L7-ci-release-security
security-1	security	security/ci-supply-chain	confirmed	high	tools/ci/pr-triage.mjs:289	Hourly pr-hygiene sweep arms and merges fork PRs from outside contributors, and app.js, sw.js, player/ and mobile/ are all on the auto-merge allowlist	L7-ci-release-security
arch-drift-13	arch-drift	duplicated-logic-drift	confirmed	low	api/shows/[show_id]/episodes.ts:277	The live episodes endpoint's DB branch has drifted from its no-DB branch: no pagination, different response shape, and connect() can 500	L4-web-platform
data-tools-7	data-tools	duplicated-logic-drift	confirmed	low	tools/classify/prepare-batch.mjs:211	Feed fetchers outside scan.mjs skip the M1 byte cap (and backfill-show has no timeout); fetch-limits' header wrongly claims refresh-feeds uses it	L8-data-tools
app-1-3	app-1	correctness	confirmed	medium	app.js:4992	sameEpisodeList compares `id`, but show-episode rows only carry `guid`, so any same-length refresh counts as unchanged	L2-app-surface
app-1-5	app-1	correctness	confirmed	medium	app.js:3817	Show-scoped search rows for feeds without guids all get the id `<show>--null`, so they collide and tapping one row plays another row's audio	L2-app-surface
app-1-6	app-1	correctness	confirmed	medium	app.js:1849	Generated playlists (#/playlist/gen-<leaf>) often say 'Playlist not found' after a reload or relaunch: an incomplete fix of qa 116	L1-app-data
app-1-7	app-1	race-condition	confirmed	low	app.js:5578	redealAfterOnboardingPicks undoes the first deal before that deal has been recorded when storage is still settling, and corrupts cp_recent_branches	L1-app-data
app-1-9	app-1	correctness	confirmed	low	app.js:2706	With Continuous playback off, a finished episode is never removed from Up Next	L1-app-data
app-1-12	app-1	resource-leak	confirmed	low	app.js:389	_bufferedEvents grows without bound for the session when the player module never loads	L1-app-data
app-1-13	app-1	correctness	confirmed	low	app.js:1670	branchChain sorts by `new Date(release_date || 0)`, so an unparseable date gives a NaN comparator: the bug dateValue() already fixed elsewhere	L1-app-data
app-1-14	app-1	i18n	confirmed	low	app.js:1992	prettyTitle drops every non-ASCII letter, so accented or non-Latin queries produce broken or generic playlist titles	L1-app-data
app-1-15	app-1	race-condition	confirmed	low	app.js:3183	retryCatalog repaints and refocuses whatever page is current when the retried fetch lands, even after the listener has left	L2-app-surface
app-2-1	app-2	correctness/stale-state	confirmed	medium	app.js:9293	Home render overwrites the last-played episode's full itemIndex entry with the player's 7-field pointer, and it stays that way for the session	L2-app-surface
app-2-2	app-2	performance	confirmed	medium	app.js:6932	Shows search paints every match with no cap: about 2,500 rows on the first keystroke, and the whole list is re-rendered on each later pass	L2-app-surface
app-2-3	app-2	race/performance	confirmed	medium	app.js:8268	Leaving the Search page does not supersede its passes, so the debounce tick, three fetches and the multi-second playlist-CTA scan still run on the next page	L2-app-surface
app-2-4	app-2	correctness	confirmed	medium	app.js:10210	Starting an episode from a chapter or timestamp tap skips startEpisodePlay: no History entry, no play_started event, and the previous list's ⏮/⏭ chain stays in place	L2-app-surface
app-2-5	app-2	error-handling	confirmed	low	app.js:6879	loadShowIndex bounds only the response headers; a stalled body leaves showIndexPromise pending for the whole session (incomplete fix of states-4)	L2-app-surface
app-2-6	app-2	correctness	confirmed	low	app.js:11049	Clearing or changing a thumbs vote never reverses its interest nudge, so up, clear, up repeated drives a topic to 1.0	L2-app-surface
app-2-7	app-2	correctness/units	confirmed	low	app.js:10144	Episode-notes timestamp guard uses the rounded duration_min and ignores duration_sec, so real chapter stamps in the last minute render as dead text	L2-app-surface
app-2-8	app-2	correctness	confirmed	low	app.js:9969	Linkifier cuts URLs that end in ')' , so Wikipedia-style links in show notes open the wrong page	L2-app-surface
app-2-9	app-2	correctness/locale	confirmed	low	app.js:6659	'Shows 4a vouches for' is not deterministic across locales: the base order uses a locale-sensitive localeCompare	L2-app-surface
app-2-10	app-2	correctness	confirmed	low	app.js:6054	Panel drag-to-dismiss doesn't capture the pointer; a mouse release off the panel leaves the drag stuck	L2-app-surface
app-2-11	app-2	race	confirmed	low	app.js:8347	Search CTA hands off to Create through location.hash plus setTimeout(0), racing the hashchange render	L2-app-surface
app-2-12	app-2	performance	confirmed	low	app.js:9041	Home computes every rail twice per render, including generatedPlaylists' full-pool scan and sort	L2-app-surface
app-2-13	app-2	duplicated-logic-drift	confirmed	low	app.js:9396	Foray route links interpolate ids without encodeURIComponent, which has drifted from the other producers	L2-app-surface
app-3-1	app-3	stale-state	confirmed	medium	app.js:12489	Foray page Play after the mini bar is closed restarts from the resume point captured at render time (or from 0), not from where the listener stopped, and then writes over their stored progress	L2-app-surface
app-3-3	app-3	correctness	confirmed	medium	sw.js:354	The 'generation-changed' notice ('one version behind') is broadcast to pages that already loaded the new deploy, so returning visitors see it after every deploy	L4-web-platform
app-3-5	app-3	correctness	confirmed	medium	app.js:34	The generation pin is also applied to code that loaded live from a newer deploy, so new app.js reads the previous generation's data (the #233 mismatch)	L4-web-platform
app-3-6	app-3	error-handling	confirmed	medium	app.js:13909	Retrying Delete my data after a 'device NOT fully clear' result reports the server rows wrongly ('never signed in' or 'NOT deleted') and can block the device clear	L1-app-data
app-3-8	app-3	stale-copy	confirmed	low	app.js:14541	The voice picker's subtitle says Preview plays 'at your playback speed', but auditions have been fixed at 1x since the 2026-09-24 ruling	L1-app-data
app-3-9	app-3	error-handling	refuted	low	app.js:12522	renderForay calls player.playbackRate() without checking it exists; with an older module the throw strands the Foray page with an unbound transport	
app-3-10	app-3	race-condition	confirmed	low	app.js:14805	Voice sheet async races: overlapping Previews re-enable a voice that is still speaking, and an older refreshVoiceList can overwrite a newer one	L1-app-data
app-3-11	app-3	concurrency	confirmed	low	app.js:13668	runVoiceProbe has no in-flight guard, so a second tap starts a second ~90 s probe alongside the first	L1-app-data
app-3-13	app-3	error-handling	confirmed	low	app.js:16764	init() has no catch after its first await, so a throw in boot leaves 'Loading 4a…' on screen for good, with ☰ and ↻ disabled, no Try again, and no service worker	L1-app-data
app-3-14	app-3	test-quality	confirmed	low	test/sw-generation.test.js:893	A service-worker test and comment claim a response that lands after the timeout 'warms' the generation cache, but cachePut makes that a no-op for every manifest-tracked file	L4-web-platform
player-core-1	player-core	correctness	confirmed	high	player/queue-state.js:514	Pressing previous-clip after a failed Foray load marks the whole Foray Played and restarts it from clip 1	L3-player-and-native-tts
player-core-2	player-core	race-condition	confirmed	high	player/queue-manager.js:2350	Pause or Stop during a rendered narration bridge's load is ignored: the bridge starts playing anyway	L3-player-and-native-tts
player-core-3	player-core	error-handling	confirmed	high	player/html-audio-backend.js:1779	An interrupted play() (AbortError) is reported as a fatal player error, which drops the listener's skip into idle	L3-player-and-native-tts
player-core-4	player-core	race-condition	confirmed	medium	player/queue-manager.js:1541	A synth narration load superseded while speak() is in flight still marks itself loaded and keeps talking over the next item	L3-player-and-native-tts
player-core-5	player-core	stale-state	confirmed	medium	player/client.js:3267	Scrubber and clocks freeze for the rest of the session if a drag returns to its starting value	L3-player-and-native-tts
player-core-6	player-core	correctness	confirmed	medium	player/client.js:4581	Foray 'Next clip' silently skips narration clips, and ends the Foray early when the last item is narration	L3-player-and-native-tts
player-core-7	player-core	correctness	confirmed	medium	player/queue-state.js:622	stop() does not enforce silence the way pause() does (#689 drift survives Stop)	L3-player-and-native-tts
player-core-8	player-core	duplicated-logic-drift	confirmed	low	player/client.js:4323	playForay drops the outgoing episode's and Foray's position (no flush), unlike play()	L3-player-and-native-tts
player-core-9	player-core	race-condition	confirmed	low	player/queue-manager.js:1086	Concurrent _handle calls can run a stale loadItem after a newer one, leaving the reducer's target different from what is loaded	L3-player-and-native-tts
player-core-10	player-core	dead-code	confirmed	low	player/queue-manager.js:1042	Known-car-route auto-resume is dead code: routeChanged(available) is never called and _knownCarRoutes is never filled	L3-player-and-native-tts
player-rest-1	player-rest	correctness	confirmed	high	player/durable-store.js:893	One hung IndexedDB transaction stalls every later durable write, including the vault write of a refreshed auth token, and makes Delete my data hang	L3-player-and-native-tts
player-rest-3	player-rest	performance	deliberate	low	player/diagnostic-log.js:1784	DiagnosticLog rewrites the whole 200-entry ring through every storage tier on every row and every seam stage	
player-rest-5	player-rest	error-handling	confirmed	low	player/client.js:3260	Transport click handlers drop the promise from async setRunning/forayNext/forayPrevious/foraySeek, so a rejection skips the repaint and leaves the Foray index stuck	L3-player-and-native-tts
player-rest-6	player-rest	correctness	refuted	low	player/media-session.js:725	Media-session playbackState/positionState dedupe is recorded before the write, so a failed write is never retried (the metadata fix was not applied to these two)	
search-api-css-1	search-api-css	correctness	confirmed	medium	search-engine.js:723	Modifier words are consumed as filters unconditionally: 'deep learning' returns 805 random long episodes with status ok	L4-web-platform
search-api-css-2	search-api-css	correctness	confirmed	medium	search-engine.js:723	'constructor' in a topic query hits Object.prototype: the token is silently dropped, or the search throws a TypeError	L4-web-platform
search-api-css-3	search-api-css	performance	confirmed	medium	api/episodes/search.ts:265	No per-show feed cache: every show-page search keystroke and every episode page re-downloads and re-parses the whole RSS feed	L4-web-platform
search-api-css-5	search-api-css	ci-tooling	confirmed	low	vercel.json:9	Helper modules and api/test/*.mjs sit under api/ without a leading underscore, so Vercel deploys each one as a public function	L4-web-platform
search-api-css-6	search-api-css	correctness	confirmed	low	search-engine.js:232	Topic-search tokenizer does not fold diacritics, so accented queries split into junk 'thin' fragments	L4-web-platform
search-api-css-7	search-api-css	correctness	confirmed	low	api/shows/index/[...path].ts:308	Index proxy marks unversioned URLs 'immutable' and fetches upstream with no timeout or size cap	L4-web-platform
search-api-css-8	search-api-css	error-handling	confirmed	low	api/episodes/showIdMap.ts:155	showIdMap: release id-map fetch has no timeout, and one failure pins the fallback map for the instance's lifetime	L4-web-platform
search-api-css-10	search-api-css	dead-code	confirmed	low	styles.css:909	Dead CSS: rules for #pl-form/#pl-input, .cards4 and the ui-v2 utility classes match no markup	L4-web-platform
search-api-css-11	search-api-css	correctness	confirmed	low	search-engine.js:963	passesFilters recency: an episode with an unparseable release_date passes a 'new'/'today' filter, while one with no date fails it	L4-web-platform
search-api-css-13	search-api-css	test-flakiness	deliberate	low	api/test/episodes-search.test.mjs:32	episodes-search tests share the real-clock Apple bucket singleton and never reset it	
gen-1	gen	correctness	confirmed	high	backend/src/generation/AnthropicExternalResearcher.ts:206	Web-search replies are parsed from the FIRST text block, so the JSON is missed and the re-ask (sent without the search tool) gets passages written from memory	L5-generation
gen-2	gen	correctness	confirmed	medium	backend/src/generation/gatherEvidence.ts:659	Tape evidence window is truncated from the end, so any clip longer than about 100 s loses its tail from the verifier's and writer's view	L5-generation
gen-3	gen	correctness	confirmed	medium	backend/src/generation/runPipeline.ts:1241	Deepened slot titles are never pinned to the spine's, but items are keyed by the deepened title and `slots` by the spine's	L5-generation
gen-4	gen	correctness	confirmed	medium	backend/src/generation/runPipeline.ts:489	slotsFromSpine suffixes duplicate slot ids (-2) but items still use the unsuffixed slug	L5-generation
gen-5	gen	error-handling	confirmed	medium	backend/src/generation/evidencePrefetch.ts:236	Evidence prefetch caches transient retrieval failures as empty packs, so narration never asks again	L5-generation
gen-6	gen	correctness	confirmed	medium	backend/src/generation/sourceBeats.ts:1738	Tier-2 item ids collide for episodes whose titles share 60 slug chars, so one episode's audio and transcript can be attributed to another	L5-generation
gen-7	gen	correctness	confirmed	medium	backend/src/generation/transcriptArchiveLookup.ts:416	Transcript body lookup's prefix fallback can return a different episode's body	L5-generation
gen-8	gen	correctness	confirmed	low	backend/src/generation/writeNarration.ts:527	Q-09 cross-act show memory is never wired, so every act re-introduces a show by name	L5-generation
gen-9	gen	correctness	confirmed	low	backend/src/generation/safetyCheck.ts:41	Safety regexes reject ordinary documentary prompts, against the DECISIONS intent to avoid false positives	L5-generation
gen-10	gen	error-handling	confirmed	low	backend/src/generation/AnthropicContinuityBuilder.ts:65	Truncated (max_tokens) replies are silently repaired into valid JSON for continuity, deepen, spine and verifier	L5-generation
gen-11	gen	tooling	confirmed	low	backend/src/generation/postSeedSpine.ts:127	postSeedSpine.ts contains a raw NUL byte, so git treats it as binary: no diffs in PRs, invisible to git grep	L5-generation
gen-12	gen	error-handling	confirmed	low	backend/src/generation/finalizeForay.ts:517	finalizeForay throws, instead of returning ok:false, on pool collisions and duplicate ids, which bypasses refusedPartial 'continue' and can loop on resume	L5-generation
gen-13	gen	stale-state	confirmed	low	backend/src/generation/runPipeline.ts:1234	Foray id and topic are re-derived on every resume, so a resumed run publishes under a different id than its streamed partials	L5-generation
gen-14	gen	metrics	confirmed	low	backend/src/generation/AnthropicDeepenActBuilder.ts:122	Re-ask calls are not recorded in usageTracking in 5 of 7 builders, so pipelineTokens and report `calls` undercount	L5-generation
gen-15	gen	resource-leak	confirmed	low	backend/src/generation/transcriptArchiveLookup.ts:311	Transcript cue cache and caches keyed without `root` grow or go stale for the process lifetime	L5-generation
gen-16	gen	error-handling	confirmed	low	backend/src/generation/phonemize.ts:136	runPhonemizer silently drops all phonemes on any subprocess failure, including ENOBUFS from spawnSync's 1 MB default buffer	L5-generation
backend-rest-2	backend-rest	correctness	confirmed	medium	backend/src/curation/eventStore.ts:162	Learning cursor truncates Postgres microseconds to milliseconds, so the last event is re-applied on every run	L6-backend-rest
backend-rest-3	backend-rest	error-handling	confirmed	low	backend/src/curation/interestLearning.ts:118	Learning job trusts unvalidated event payloads: one malformed row crashes the run and stalls the user's cursor for good	L6-backend-rest
backend-rest-5	backend-rest	security	confirmed	low	backend/migrations/supabase/0002_linter_findings.sql:48	own_rows policies are `for all`, so clients can rewrite the append-only interest audit log and forge learned weights or event timestamps	L6-backend-rest
backend-rest-6	backend-rest	correctness	confirmed	medium	backend/src/cli/publishForay.ts:863	publish-foray adds the `hold` label in a second call after `gh pr create`, so a failed label call leaves a --force'd Foray auto-mergeable	L6-backend-rest
backend-rest-7	backend-rest	data-loss	confirmed	medium	backend/src/cli/generateForays.ts:831	generate-forays rewrites report.json from this run only, dropping rows (and their publish records) for candidates it skipped as already built	L6-backend-rest
backend-rest-8	backend-rest	data-loss	confirmed	low	backend/src/cli/warmTranscriptIndex.ts:346	warm-transcript-index --show X overwrites corpus-digest.json with only X's rows, dropping every other show from the archive	L6-backend-rest
backend-rest-9	backend-rest	error-handling	confirmed	low	backend/src/catalog/showEpisodesStore.ts:114	ingestShowFeed is not atomic and breaks its 'never throws' contract: a NUL from `&#0;` or any failing row aborts the ingest mid-upsert	L6-backend-rest
backend-rest-10	backend-rest	correctness	confirmed	low	backend/src/feeds/parser.ts:252	An empty <guid></guid> becomes guid "" rather than null, so guid-less episodes collide on (show_id, "") and all but one are lost	L6-backend-rest
backend-rest-11	backend-rest	correctness	confirmed	low	backend/src/feeds/html.ts:45	decodeEntities looks named entities up on a plain object, so `&constructor;` becomes 'function Object() { [native code] }'	L6-backend-rest
backend-rest-12	backend-rest	performance	confirmed	low	backend/src/catalog/ingestShowFeed.ts:82	ingestShowFeed records consecutive_failures but never reads it, so a dead feed is refetched (with a 15 s timeout) on every request	L6-backend-rest
backend-rest-13	backend-rest	race-condition	confirmed	low	backend/src/cost/budgetGuard.ts:178	BudgetGuard checks and records in separate awaited steps, so concurrent calls can all pass the cap	L6-backend-rest
backend-rest-14	backend-rest	resource-leak	confirmed	low	backend/src/cli/warmTranscriptIndex.ts:183	warm-transcript-index's feed fetch has no timeout, no size cap and a cache that never expires	L6-backend-rest
backend-rest-15	backend-rest	correctness	confirmed	low	backend/src/curation/sessionBuilder.ts:108	sessionBuilder's dedup log names the wrong kept candidate (it can report keptId === droppedId)	L6-backend-rest
backend-rest-16	backend-rest	correctness	confirmed	low	backend/src/curation/sessionBuilder.ts:149	An unparseable release date is scored as 1970 (freshness 0) instead of the neutral 0.5 computeFreshness provides	L6-backend-rest
backend-rest-17	backend-rest	correctness	confirmed	low	backend/src/curation/interestLearning.ts:177	The card-ignored penalty fires again on every card_shown after the 5th, and the streak is recomputed in O(n^2)	L6-backend-rest
backend-rest-18	backend-rest	correctness	confirmed	low	backend/src/copy/rules.js:105	The INTERNAL_VOCABULARY 'Act N' rule only matches lower-case number words, so 'Act Two' passes the title/summary gate	L6-backend-rest
backend-rest-19	backend-rest	error-handling	confirmed	low	backend/src/cli/publishForay.ts:848	publish-foray leaves the checkout stranded on the publish branch if commit, push or `gh pr create` fails	L6-backend-rest
backend-rest-20	backend-rest	resource-leak	confirmed	low	backend/src/cli/publishSuites.ts:165	The real-data suites gate spawns `node --test` with no timeout, so one hung suite hangs publish-foray forever	L6-backend-rest
backend-rest-21	backend-rest	tooling	deliberate	low	backend/src/curation/createUserInterestsProvider.ts:21	build-session crashes whenever DATABASE_URL is set, which is the same .env that migrate and learn-interests require	
backend-rest-22	backend-rest	correctness	confirmed	low	backend/src/identity/dedup.ts:26	normalizeTitle removes every non-ASCII letter, so non-Latin titles never dedup and all collide on one identity key	L6-backend-rest
ci-release-2	ci-release	security	confirmed	high	.github/workflows/automerge-nightly.yml:170	The path policy ignores renames (previous_filename), so moving a governed file to an allowlisted path auto-merges unread and passes path-policy	L7-ci-release-security
ci-release-3	ci-release	security	confirmed	medium	.github/workflows/release.yml:133	The release-signing secrets are repository-scoped, so the release guard is not a boundary: a tag or branch push runs its own guard code with access to the dist cert, the App Store Connect key and the Play key	L7-ci-release-security
ci-release-5	ci-release	security	confirmed	medium	tools/ci/path-policy.mjs:287	`mobile/` is allowlisted wholesale, including the signing Gradle include, plugin build scripts and package manifests, which run inside the steps that hold the keystore password and the ASC key	L7-ci-release-security
ci-release-6	ci-release	correctness	confirmed	medium	tools/release/watch-release.mjs:587	release-trigger treats main as 'red' when an advisory, non-required ci.yml job fails (ios-kit, playwright), which blocks automatic releases	L7-ci-release-security
ci-release-7	ci-release	security	confirmed	low	.github/workflows/pr-hygiene.yml:161	The sweep's ARM path skips the truncated-file-list guard, so it re-arms PRs that automerge-nightly refused as TRUNCATED_FILE_LIST	L7-ci-release-security
ci-release-8	ci-release	security	refuted	low	.github/workflows/automerge-nightly.yml:94	A same-repo PR can edit automerge-nightly.yml to arm itself, because pull_request runs the PR's copy of the workflow	
ci-release-9	ci-release	ci-tooling	confirmed	low	.github/workflows/pr-hygiene.yml:85	The shared concurrency groups with cancel-in-progress:false still drop runs: GitHub keeps one pending run per group and cancels the older one	L7-ci-release-security
ci-release-10	ci-release	correctness	confirmed	low	tools/ci/pr-triage.mjs:191	The self-heal's dispatch guard treats ANY non-dispatch ci.yml run as coverage, so a cancelled or startup_failure run strands the PR permanently	L7-ci-release-security
ci-release-13	ci-release	error-handling	confirmed	low	.github/actions/ios-archive/action.yml:370	The TestFlight upload error message tells the reader to 'see altool-upload.log in this job's artifacts', but the release path never uploads it	L7-ci-release-security
ci-release-14	ci-release	ci-tooling	deliberate	low	tools/ci/crlf-guard.mjs:46	crlf-guard's binary exemption is a hand-kept list, but the font list it guards is derived from the directory, so adding a font breaks every deploy build	
ci-release-15	ci-release	correctness	confirmed	low	tools/web/prepare-dist.mjs:118	prepare-dist deletes whatever `--out` points at before building, so `--out .` or `--out ..` wipes the checkout, and a bare `--out` crashes	L4-web-platform
ci-release-16	ci-release	error-handling	deliberate	low	.github/workflows/nightly-refresh.yml:220	nightly-refresh's 'Restore scan state' treats any API failure as 'no state', silently resetting and then overwriting the seen-guid state (the fail-open the guard step was fixed for)	
ci-release-17	ci-release	correctness	confirmed	low	.github/workflows/pr-hygiene.yml:143	The PR gathers cap at 100 open PRs, so the AUTOMERGE_FREEZE kill switch never reaches armed PRs past the first 100	L7-ci-release-security
mobile-native-1	mobile-native	correctness	confirmed	high	mobile/plugins/foray-tts/ios/Sources/ForayTtsPlugin/ForayTtsPlugin.swift:677	iOS ForayTts.speak() queues behind a paused or still-speaking utterance, so after any skip away from a narration line the next narration is silent	L3-player-and-native-tts
mobile-native-2	mobile-native	race-condition	confirmed	medium	mobile/plugins/foray-tts/android/src/main/java/ai/jwlabs/foura/tts/ForayTtsPlugin.java:283	The 'finished' TTS event carries no utterance identity, so a stale completion advances whichever narration is current	L3-player-and-native-tts
mobile-native-3	mobile-native	error-handling	confirmed	medium	mobile/plugins/foray-tts/android/src/main/java/ai/jwlabs/foura/tts/ForayTtsPlugin.java:301	Android TTS onError is a no-op, so an engine error leaves narration 'speaking' in silence until the page's deadline	L3-player-and-native-tts
mobile-native-4	mobile-native	resource-leak	confirmed	low	mobile/plugins/foray-audio/ios/Sources/ForayAudioPlugin/ForayAudioPlugin.swift:592	A Foray that ends on narration never deactivates the app's audio session, contrary to the documented 'only the end of playback deactivates' rule	L3-player-and-native-tts
mobile-native-5	mobile-native	resource-leak	confirmed	low	mobile/plugins/foray-tts/android/src/main/java/ai/jwlabs/foura/tts/KokoroOrtProbeEngine.java:171	Kokoro probe on Android leaks an ORT session per run and blocks every Capacitor plugin call while it runs	L3-player-and-native-tts
mobile-native-6	mobile-native	error-handling	confirmed	low	mobile/plugins/foray-audio/ios/Sources/ForayAudioPlugin/ForayAudioPlugin.swift:857	iOS lock-screen artwork: one failed or timed-out fetch caches 'no artwork' for that URI for the rest of the item	L3-player-and-native-tts
mobile-native-7	mobile-native	error-handling	confirmed	low	mobile/plugins/foray-vault/android/src/main/java/ai/jwlabs/foura/vault/DeviceOnlyVault.java:55	Android DeviceOnlyVault cannot recover from a corrupt file: set/remove parse it first, so the vault stays broken permanently	L3-player-and-native-tts
mobile-native-8	mobile-native	correctness	confirmed	low	mobile/plugins/foray-tts/web/foray-tts.js:152	Android SSML path is latent-broken: overlapping lexicon matches duplicate text, and resume() speaks a substring of the SSML markup	L3-player-and-native-tts
mobile-native-10	mobile-native	ci-tooling	confirmed	low	tools/mobile/webview-probe.mjs:213	webview-probe's DevTools target fetch has no timeout, so a hung endpoint hangs the CI job past the probe deadline	L3-player-and-native-tts
data-tools-1	data-tools	correctness	confirmed	medium	tools/generation/relay.mjs:327	Relay answers a fresh request with a previous run's stale reply file (ids restart at r0001, queue never cleared on start)	L5-generation
data-tools-2	data-tools	correctness	confirmed	medium	tools/refresh/resolve.mjs:71	Nightly resolve fuzzy-matches a new episode to a different (older) iTunes track, and the episode is then dropped for good	L8-data-tools
data-tools-3	data-tools	error-handling	confirmed	medium	tools/corpus/fetcher.mjs:210	Corpus fetcher throws out of fetchUrl when a body read times out mid-stream, aborting the whole ingest run	L8-data-tools
data-tools-4	data-tools	correctness	confirmed	medium	tools/transcribe/fetch-audio.mjs:690	fetch-audio's resume identity check never runs: identity and bytes_expected are only written after a download completes	L8-data-tools
data-tools-5	data-tools	correctness	confirmed	medium	tools/transcribe/fetch-audio.mjs:664	fetch-audio's 120 s abort timer covers the whole body stream, so long episodes cannot finish and DAI episodes never do	L8-data-tools
data-tools-6	data-tools	resource-leak	confirmed	low	tools/foray/verify-source-audio.mjs:76	'Two bytes, no audio' probes download the whole episode when a host ignores Range	L8-data-tools
data-tools-8	data-tools	error-handling	confirmed	low	tools/generation/start-run.mjs:183	A driver killed by a signal is reported as success (exit code null becomes 0)	L5-generation
data-tools-9	data-tools	resource-leak	confirmed	low	tools/transcribe/fetch-audio.mjs:736	SizeOverrun/DiskBudget failures leave the .part file on disk while the ledger releases its bytes	L8-data-tools
data-tools-10	data-tools	race-condition	confirmed	low	tools/transcribe/fetch-audio.mjs:479	HostGate's minimum gap is not enforced between concurrent slots on the same host	L8-data-tools
data-tools-11	data-tools	error-handling	confirmed	low	tools/refresh/backfill-audio.mjs:318	backfill-audio / classify-dai write discover.json (and the DAI cache) before checking the session.json text patch, which can then throw	L8-data-tools
data-tools-12	data-tools	tooling	confirmed	low	scripts/events-server.vbs:4	Startup launcher for the events server runs the stale commute-curator checkout, not this repo	L5-generation
data-tools-13	data-tools	duplicated-logic-drift	confirmed	low	tools/segments/sweep-transcripts.mjs:137	sweep-transcripts' entity decoder throws RangeError on an out-of-range numeric entity (a third, drifted decoder)	L8-data-tools
data-tools-14	data-tools	dead-code	confirmed	low	tools/shows/import-dump.mjs:348	Shows import always emits changed.json = every show (previousNewest hard-coded {}), so scan --source index is a full scan plus an unbounded candidates list	L8-data-tools
data-tools-15	data-tools	dead-code	confirmed	low	tools/refresh/resolve.mjs:121	resolve.mjs dedups ids against the trackId set (dead check)	L8-data-tools
tests-1	tests	test-cannot-fail	confirmed	medium	test/playwright/tests/partial-cache-population.spec.js:60	Playwright 'new deploy' specs never install a second generation: sw.js bytes never change, so re-register()/update() is a no-op and the tests pass whatever sw.js does	L4-web-platform
