id	title	disposition	where	note
races-3	A playlist build that finishes after the listener left the page navigates them to the playlist from wherever they are — and on the Playlists page throws on a null note	fixed	L4-search-create-playlists (merge 9018c0ce, PR #749)	Create's submit writes or navigates only while the route is still #/create; paintCreatePending paints from the flag on every render. Test: create-page three 'races-3' cases.
search-6	A browse pill, a return via ‹, or a reload never loads the on-device show index — those searches run over the curated 220 only	fixed	L4-search-create-playlists (merge 9018c0ce, PR #749)	renderAllShows(query) loads the show index before painting results; a bare #/shows still fetches nothing. Test: show-search-fallthrough 'search-6'.
p-impatient-2	Tap ▶ on row A, then quickly ▶ on row B: A is recorded as played — it enters History, counts toward a playlist's 'N played', and the playlist's next-up marker skips it	fixed	L1-player-transport (merge 561c8ca0, PR #749)	play() answers whether the tapped item is now current; bindPlay trusts it (with a belt for older modules). Test: transport-reconcile 'ROUND 2 p-impatient-2'; playable-episodes; playlist-durability. Round-2 review (2026-09-23): a superseded play (false while another item is current) reports no failure in bindPlay or the timestamp control; the timestamp start carries startOffset. Test: playable-episodes, episode-description-links 'ROUND 2 review'.
states-1	136 of 220 curated shows silently end at 100 episodes with a blank subtitle and no way to reach the rest	deliberate	audit verifier (round 2)	Verifier: deliberate (the 100-episode first page of a curated show is a recorded choice). Kept so it is not re-raised.
states-11	An estimated Foray runtime is labelled 'about' on the Foray page but 'N min left' and a plain clock everywhere else (Jump back in, Now Playing sheet, lock screen)	fixed	L8-foray-surfaces (merge 4b81311e, PR #749)	runtimeIsEstimated is the one rule; remaining labels, the sheet countdown and the slider's aria are hedged 'about' / '~' for an estimated Foray. Lock-screen metadata not traced or changed. Test: segment-strip; foray-progress; transport-reconcile.
copy-2	One listener reads four duration dialects on one row: "3h 5m" beside "185 min left"	fixed	L6-navigation-firstrun-copy (merge 0aa38c2a, PR #749)	One duration dialect ('1 hr 5 min', '45 min left') across fmtDur, fmtSpan, remainingLabel and episodeRemainingLabel (fmtMinutes); fmtClock is for live clocks only. Test: format-helpers cross-file dialect test.
p-foray-8	Nothing before the Foray page tells you how long a Foray is, and the page shows the runtime in two formats	fixed	L8-foray-surfaces (merge 4b81311e, PR #749)	forayFactsLabel ('51 min · 22 clips · 7 shows', 'about' when estimated) on #/forays rows, Library rows and Home cards via one resolveListedForay. Test: foray-surfaces; load-states.
honesty-2	A finished Foray leaves no trace anywhere — no 'Played', no bar, dropped from Jump back in and Library — while a finished episode says 'Played' on every row and stays in Jump back in for 30 days	fixed	L8-foray-surfaces (merge 4b81311e, PR #749)	A finished Foray writes a Played row (markFinished); rows say 'Played'; the page shows a Played banner with 'Play again'; finished Forays leave Jump back in (Q3 default). Test: transport-reconcile; foray-progress; foray-surfaces; load-states.
honesty-3	Library → History is in first-play order, not last-played: replaying an old episode does not move it, so the 'most recent' list can lead with something played weeks ago	fixed	L3-queue-and-native-surfaces (merge 261450b8, PR #749)	recordHistory moves the id to the end on every play, so History leads with the last played. Test: library-screen 'History leads with the LAST-played episode…'.
p-car-3	After a phone call or Siri in the car, 4a stays silent: the page's own reconcile pauses the element mid-interruption, which cancels the OS resume, and interruptionEnded is discarded	fixed	L1-player-transport (merge 561c8ca0, PR #749)	HtmlAudioBackend.pause() no longer pauses an already-paused element; Q2 default: interruptionEnded should-resume resumes an OS interruption that began while playing, within 30 s, never a listener's pause (DECISIONS). Needs a phone: a 20 s call mid-episode. Test: transport-reconcile 'ROUND 2 p-car-3' (x4); queue-manager. Round-2 review (2026-09-23): a route loss (or an external stop found by a non-interruption reconcile, #263) is never resumed by a later call's should-resume (_pausedByRoute). Test: queue-manager 'ROUND 2 review' (x3).
p-impatient-3	With anything in Up Next, the iOS lock screen may swap the founder's 30↻ for ⏭ — the 2026-09-23 steering-wheel 'next' fix enables nextTrackCommand at the same moment the 2026-09-23 15/30 fix relies on the skip commands being what the lock screen shows	fixed	L3-queue-and-native-surfaces (merge 261450b8, PR #749)	Q1 default: the lock screen keeps the skip pair; the iOS track commands are enabled only on a route with track buttons (headphones, car, AirPlay), re-applied on every route change, and not mirrored onto WebKit (DECISIONS; ios-lock-screen.md). Needs a phone: which pair iOS draws. Test: shell-invariants; foray-media-session; ForayAudioPluginTests (CI).
native-5	iOS lock-screen timeline alternates between the source episode's clock (during tape) and the Foray clock (during narration/pause), and is draggable only in one of them	deliberate	audit verifier (round 2)	Verifier: deliberate (the lock-screen timeline's two clocks are a documented choice). Kept so it is not re-raised.
perf-2	The Search tab eagerly loads 167 six-hundred-pixel artworks into 44 px rows, with no lazy loading and no size variant	fixed	L5-boot-states-storage (merge bbbb86a6, PR #749); round-2 sweep 95d40970	artUrl(url, px) asks Apple's CDN for the drawn size; list rows 132 px, lazy, async, boxed. Sweep: Home's 56 px subject card (miniCard, named in the finding) still fetched 600 px; it now asks for 168, and the rule is promoted to every <img> in app.js below hero size. Test: boot-path 'perf-2' and 'perf-2 (sweep)'.
p-car-5	Steering-wheel ◀◀ on an ordinary episode never restarts it — it jumps to the previous list row, or is greyed out — unlike the Foray's own previous and every podcast app	fixed	L3-queue-and-native-surfaces (merge 261450b8, PR #749)	◀◀ for an episode restarts past the player's own RESTART_WINDOW_SEC, else goes to the previous row; never dead. Test: up-next-autoadvance 'REVIEW: ◀◀ restarts…'; transport-reconcile 'previousMeansRestart…'.
p-car-6	At the end of the last episode with nothing queued, the lock screen and car go completely blank and every wheel button is dead — Apple keeps the finished episode paused and playable	fixed	L1-player-transport (merge 561c8ca0, PR #749)	A finished ordinary episode reports PAUSED, a finished Foray NONE (media-session §4; DECISIONS). Needs a phone: whether the iOS session hold keeps the car at the end of a list. Test: media-session 'a FINISHED ordinary episode reports PAUSED'; transport-reconcile.
p-first-11	The now-permanent Foray explanation promises "a narrator between them" directly above the only Foray a newcomer can play, which has no narration; the returning-user popup adds a stretch Foray that cannot exist	fixed	L8-foray-surfaces (merge 4b81311e, PR #749)	forayAbout(): 'moments from their episodes', with the narrator clause only while a visible Foray has narration; the intro popup's stretch claim reads Home's own pick. Test: foray-surfaces; listener-copy; load-states.
touch-1	Hold-and-drag scrub on the Foray strip never commits on a touchscreen: the seek is delegated to a `click` that no mobile browser fires after a moved touch	fixed	L2-sheets-drawer-gestures (merge cc09460c, PR #749)	A zoomed strip gesture commits its seek on pointerup through the same commitStripSeek a tap uses, from the pre-zoom geometry. Test: modal-and-focus 'ROUND 2 touch-1'; strip-scrub-gesture (x3).
touch-2	Pull-down-to-dismiss the Now Playing sheet only works from the 48px grab strip: the 'anywhere in the body at scrollTop 0' path cannot work on a phone because `pointermove.preventDefault()` does not stop a touch scroll	fixed	L2-sheets-drawer-gestures (merge cc09460c, PR #749)	A non-passive touchmove on the sheet cancels the page pan once the drag claims it (claimsTouch). Test: sheet-drag-dismiss (x2); now-playing-sheet 'ROUND 2 touch-2'.
touch-3	Long-press on any stretched-link card or episode row opens WKWebView's link preview of `capacitor://localhost/#/…` — the new stretched-link pattern made this the whole card face	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	allowsLinkPreview:false in the shell; in-app links suppress the callout and selection; tap highlight transparent only where :active paints. Test: tap-targets 'a held in-app link opens no web preview…'.
touch-4	Every sheet in the app paints a drag handle, but only the Now Playing sheet answers a drag — eight false affordances	fixed	L2-sheets-drawer-gestures (merge cc09460c, PR #749)	Every .fy-panel gets the same drag-to-dismiss gesture; a sheet that declines springs back. Test: modal-and-focus 'ROUND 2 touch-4'; now-playing-sheet.
touch-5	Incomplete fix of theme F (tap-target rule): Follow, every sheet's Cancel/primary button, 'Show all', the interest reset and the shell-notice ✕ are 26-41px and outside the rule	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	The remaining small buttons join the 44px hit rule; tap-targets walks every <button> and fails on an unclassified one. Test: tap-targets 'every <button> the app renders is classified…'.
touch-6	Incomplete fix of qa 12: the show link inside the stretched episode row is a ~13px-tall target with no hit area, so a thumb aimed at the show name opens the episode (or vice versa)	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	The show link inside a row is a ~26px target without a false vertical margin. Test: tap-targets 'the show link inside a row is a real target…'.
touch-8	Sheets have no entrance or exit motion: Now Playing appears instantly and, after a drag past the dismiss distance, vanishes from mid-screen instead of finishing the slide	fixed	L2-sheets-drawer-gestures (merge cc09460c, PR #749)	ForaySheets.slideIn/slideOut: one open and close motion for .fp-sheet and .fy-panel, none under Reduce Motion. Test: now-playing-sheet 'ROUND 2 touch-8'; modal-and-focus (x2).
touch-9	Half of every two-tier row is dead to taps, and the half that is live gives feedback only on the title text: the row looks like one card but behaves like a link glued to a toolbar	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	The whole episode row is the stretched link; its buttons sit above it; the row paints its :active state. Test: tap-targets 'an episode row's WHOLE CARD opens the episode…'.
touch-10	Inline description timestamps' 10px vertical padding overlaps the neighbouring lines, so the bottom fifth of a stamp — and the whole gap under it — seeks to the NEXT stamp	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	Inline timestamps grow into the half-leading; a stamp-led line is a 44px chapter-row button. Test: tap-targets; episode-description-links (+4). Round-2 review (2026-09-23): the Now Playing notes read the same line-aware tokens (episodeNotesTokens) and draw a chapter list as 44px .ep-chapter-row buttons. Test: episode-description-links, transport-reconcile 'ROUND 2 review (touch-10)'.
touch-11	The static segment strip inside horizontally scrolling rails carries `touch-action: pan-y`, so a sideways flick that starts on it cannot scroll the rail	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	A static strip inside a sideways rail hands every pan to the rail. Test: tap-targets 'a static strip inside a sideways rail…'.
player-4	"Previous clip" pressed during a narration line always restarts the line — you can never go back past a narrator	fixed	L1-player-transport (merge 561c8ca0, PR #749)	forayPrevious measures 'into' on the Foray clock, so a narration line with no start_sec no longer yields NaN and an always-restart. Test: transport-reconcile 'ROUND 2 player-4'.
player-5	30↻ inside a Foray has no end guard: a forward nudge near the end finishes the Foray and wipes its Jump back in row	fixed	L1-player-transport (merge 561c8ca0, PR #749)	nudgeBy clamps a Foray target to totalSec − SEEK_END_GUARD_SEC. Test: transport-reconcile 'ROUND 2 player-5'.
player-7	A Foray clip that fails to load says nothing on the mini bar or sheet — the message lives only on the Foray page	fixed	L1-player-transport (merge 561c8ca0, PR #749)	paintStatus paints EPISODE_FAILED_LINE for a Foray error on the bar and sheet. Test: transport-reconcile 'ROUND 2 player-7'.
player-8	Jump back in and the restored ribbon disagree about a finished episode: the card says Played 100%, the ribbon shows 0:00 with an empty bar	fixed	L1-player-transport (merge 561c8ca0, PR #749)	Q3 default: a finished episode leaves Jump back in and the ribbon, so one presentation is left; its rows and page say 'Played' and ▶ plays it again. Test: transport-reconcile 'AUDIT / ROUND 2: a FINISHED episode leaves Jump back in and the ribbon'.
player-9	Both speed buttons open a menu, but their accessible name still says "tap for the next speed"	fixed	L1-player-transport (merge 561c8ca0, PR #749); round-2 sweep 95d40970	The speed button is named for the menu it opens, with aria-haspopup=dialog in the sheet. Sweep: the Foray page's #fy-rate (handed to the integrator, not done) opens the same dialog and now says so. Test: transport-reconcile 'ROUND 2 player-9'; playback-rate; transport-controls 'both speed buttons say they open a menu'.
player-10	A restored Foray's lock-screen/car entry is built as an episode: the artist slot reads "Foray · clip 3 of 32" and the counter never follows a scrub	fixed	L1-player-transport (merge 561c8ca0, PR #749)	The OS view of a restored Foray is built as a Foray; the restored bar's second line follows the thumb. Test: transport-reconcile 'ROUND 2 copy-5 / player-10'; media-session.
player-11	↺15 during a spoken narration line does nothing, silently	fixed	L1-player-transport (merge 561c8ca0, PR #749)	A nudge inside a spoken line restarts or skips it and says so through the live region (DECISIONS). Test: transport-reconcile 'ROUND 2 player-11'.
visual-1	Episode-notes disclosure chevron renders as a rotated capital "A" (mangled CSS escape)	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	The C1 control byte in styles.css is replaced by the escape the drawer chevron uses. Test: ui-tokens 'no C1 control character anywhere…'.
visual-2	Interests sliders paint the browser's default blue on an amber/violet page	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	One input[type="range"] { accent-color: var(--amber) } rule. Test: ui-tokens 'every range input is the listener's own material…'.
visual-3	Home card branch dot is violet on most cards and reads as part of the Stretch tag	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	The Home card's branch dot and its ten raw hexes are gone. Test: ui-tokens 'the Home card's branch dot is gone…'.
visual-4	Episode page's sticky header is the whole 2–3-line title; same title is a step smaller and under the art in Now Playing	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	The episode page head is --fs-xl and two lines at most. Test: ui-tokens 'the episode page's head is two lines at most…'.
visual-5	The same transport buttons have two type specs, two elevations and two heights on the Foray page vs the Now Playing sheet	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	One transport-button family rule on both surfaces and one speed rule. Test: transport-controls 'the seek pair and the speed box are one object…'.
visual-6	Tab roots (Search, Create, Library, Playlists) carry a boxed ‹ back button while Home has none; boxed ‹ sits under borderless ☰/↻	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	A tab's root page has no ‹; a pushed page keeps one. Test: card-anatomy 'a tab's root page has no ‹…'.
visual-7	"Where this came from" rows: the ↗ link floats at a different x on every row	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	A credits row ends in its ↗. Test: card-anatomy 'a credits row ends in its ↗…'.
visual-11	Up Next row mixes circular and rounded-square 40px controls on one line	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	The reorder button uses --radius-round. Test: card-anatomy 'the Up Next row is one silhouette…'.
visual-12	Section titles at two steps (and a third on Interests) while the comment claims one	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	Section titles are --fs-xl 600, matching .hv2-title. Test: ui-tokens 'section titles are one step…'.
visual-13	Four page gutters: 12px pages, 14px Home, 16px Now Playing sheet, 18px other sheets	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	One --gutter: 16px read by every page and sheet. Test: ui-tokens 'one gutter…'.
visual-14	Row elevation is mixed inside one column (lifted, flat, lifted) on Library and Foray pages	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	Rows in a list sit flat (the qa-53 taste deferral, decided). Test: ui-tokens 'rows in a list sit flat…'.
visual-15	Row titles split 600/700 by surface; the Forays page row is heavier than the same Foray's Home card	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	Row titles are 600 at --fs-lg; the display face at 700 is only a page title. Test: ui-tokens 'row titles are 600…'.
visual-16	Search results: the shows tier has no eyebrow while Episodes and Playlists do	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	Search's shows tier wears the eyebrow heading. Test: card-anatomy 'search's shows tier wears the eyebrow…'.
visual-17	Interests page says every branch name twice (group heading over a single card with the same name)	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	The Interests page names a lone root once. Test: card-anatomy 'the Interests page names a lone root once…'.
a11y-1	Zoom was removed on the stated ground that "Dynamic Type already scales the page" — but nothing in the page or the iOS shell honours Dynamic Type, so the only text-size affordance a low-vision listener had is gone with no replacement	fixed	L3-queue-and-native-surfaces (merge 261450b8, PR #749); round-2 sweep 95d40970	Q5 default: mobile/web/foray-type-scale.js scales the root from -apple-system-body in the iOS shell; the DECISIONS sentence is corrected. Sweep: part (b), the px chrome, was left to styles.css and not done; the bridge now marks the root data-type-scale and :root[data-type-scale] grows --topbar-h and --tab-bar-h with it, capped at 1.5x. Needs a phone: Larger Text at xxxLarge. Test: tools/mobile/foray-type-scale.test.mjs (8).
a11y-2	The player's only live region sits inside the mini bar, and expanding Now Playing makes that bar inert — so "Buffering…" and "That episode could not load" are never announced from the screen the listener is actually on	fixed	L2-sheets-drawer-gestures (merge cc09460c, PR #749)	The live region is a sibling of bar and sheet and kept reachable while the sheet is modal. Test: now-playing-sheet 'ROUND 2 a11y-2'.
a11y-3	The search field is the one control on which the app's own focus ring is switched off: `#sh-compose #sh-input:focus { outline: none }` out-ranks the global `:focus-visible` ring and nothing replaces it	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	The search capsule draws the amber ring on :focus-within; no bare outline:none anywhere. Test: ui-tokens 'the one focus ring reaches the search field…'.
a11y-5	First-run explainer: pressing "Get started" wipes the dialog body, so the focused button is destroyed and focus falls to <body> inside an open modal; the new step's title is never spoken	fixed	L2-sheets-drawer-gestures (merge cc09460c, PR #749)	After 'Get started' focus lands on the new step's heading. Test: modal-and-focus 'ROUND 2 a11y-5'.
a11y-6	Stop in the Now Playing sheet hands focus to the mini bar's title button and then hides the whole player, so focus dies on a hidden element and the stop is never announced	fixed	L2-sheets-drawer-gestures (merge cc09460c, PR #749)	Stop hides the player before closing the sheet, blurs, lands on the page and announces 'Stopped'. Test: now-playing-sheet and modal-and-focus 'ROUND 2 a11y-6'.
a11y-7	Seek slider is rewritten four times a second while focused, so a screen reader parked on it hears a running clock instead of a position	fixed	L1-player-transport (merge 561c8ca0, PR #749)	While the slider has focus its value is not rewritten under the thumb. Test: transport-reconcile 'ROUND 2 a11y-7'. Round-2 review (2026-09-23): a step on the frozen slider is re-based onto the live position (rebaseHeldScrubStep); a pointer-focused slider keeps following the audio. Test: transport-reconcile 'ROUND 2 review: a step on a FOCUSED…', '…focused by a POINTER…'.
a11y-8	Drawer settings are plain buttons whose only state cue is the word after the colon — no switch role, so "Continuous playback: on" is announced as a button and the flip is never confirmed	fixed	L6-navigation-firstrun-copy (merge 0aa38c2a, PR #749)	Drawer toggles are role=switch with aria-checked; the accessible name is the label only. Test: toggle-labels. Round-2 review (2026-09-23): the click no longer announce()s — the focused switch's aria-checked is said once. Test: toggle-labels.
a11y-9	Reduced motion covers three strip rules only; the Now Playing sheet's spring-back, the description chevron, the mini-card press and the page-head collapse still animate under prefers-reduced-motion	fixed	L7-styles-touch-visual (merge e4641492, PR #749)	One reduce-motion block names every transition. Test: ui-tokens 'Reduce Motion is one block…'.
a11y-10	Navigating to Home announces nothing and moves nothing: it has no page heading, so landOnPage's two mechanisms both no-op	fixed	L6-navigation-firstrun-copy (merge 0aa38c2a, PR #749)	Home announces 'Home' or lands focus on the greeting. Test: modal-and-focus part 6.
a11y-11	The Explicit badge relies on `aria-label` on a bare <span> and `title` tooltips carry the only explanation of "Stretch" and "Not available to play" — none of which is exposed on touch or to most screen readers	fixed	L6-navigation-firstrun-copy (merge 0aa38c2a, PR #749)	The explicit badge is role=img; Stretch's reason is visible text; no phone-invisible title= tooltips. Test: listener-copy round-2 block.
races-1	A play-then-seek that is superseded mid-load still fires its seek, onto whatever loaded next — a resume followed by Next clip seeks the new clip to the old clip's episode offset and disarms the boundary	fixed	L1-player-transport (merge 561c8ca0, PR #749)	manager.play(index, { startOffset }) carries the start into the load; the trailing seeks are deleted. Test: transport-reconcile 'ROUND 2 races-1'.
races-2	The Search page's ✕ / Escape clears the field but not the in-flight search: the cleared query's results, episodes, CTA and even its address come back a moment later	fixed	L4-search-create-playlists (merge 9018c0ce, PR #749)	✕ inside the debounce supersedes the in-flight search. Test: show-search-fallthrough 'races-2'.
races-4	When hydration overruns the 5 s bound, init()'s own writes (profile id, anonymous session, seen-set, and the interests profile on the first play) permanently shadow the durable copies — only the playback rate was fixed	fixed	L5-boot-states-storage (merge bbbb86a6, PR #749)	One storage gate (storageWaiting / afterStorageSettles) for boot writes; a late hydration re-seeds only interests this session has not moved. Test: boot-path races-4 (x4). Round-2 review (2026-09-23): a store that arrives after the bound keeps the gate shut until it hydrates (settleWhenStoreArrives); a hydration that never lands is bounded by STORAGE_SETTLE_CEILING_MS; saveInterests keeps one waiter. Test: boot-path 'ROUND 2 review (races-4)' (x3).
races-6	Incomplete fix of qa 80: pages that paint 'Loading…' first (Foray page, Forays list, Library before the module) never announce their name — the late paint lands with navigated:false and focus already on #view	fixed	L6-navigation-firstrun-copy (merge 0aa38c2a, PR #749)	An announcement owed to a Loading… paint is made once, when the page can name itself. Test: modal-and-focus part 6 (x2).
races-7	retryForayDocs repaints whatever page is on screen when its three un-deadlined fetches finally return — and fetchJson has no deadline, so the Foray page's 'Try again' can never reach a failed state on a stalled socket	fixed	L5-boot-states-storage (merge bbbb86a6, PR #749)	Retrying the Foray documents says 'Trying again…', repaints only the page that asked and re-arms the button. Test: load-states (races-7).
states-2	A curated show whose episode fetch fails offers no Try again — the subtitle says 'couldn't load the full list' and nothing on the page can retry it	fixed	L5-boot-states-storage (merge bbbb86a6, PR #749)	Try again under the curated rows when the full-list fetch fails. Test: show-episode-load-states.
states-3	A Foray whose segments.json (or segment-sources.json) did not load paints as content — 'N clips from this foray couldn't be found, so they're left out' over an empty running order, with no Try again	fixed	L5-boot-states-storage (merge bbbb86a6, PR #749)	The three Foray documents are one set at boot. Test: load-states (states-3).
states-4	The show page's episode fetch, the boot fetch and the show-index fetch have no deadline — 'Loading episodes…' / 'Loading 4a…' can spin forever on a black-holed connection, and the native shell has no service worker to cut it off	fixed	L5-boot-states-storage (merge bbbb86a6, PR #749)	fetchShowEpisodesUncached, fetchJson and loadShowIndex have deadlines. Test: show-episode-load-states.
states-6	'Try again' after 'The player didn't load' cannot succeed — it only waits another 5 s for a module event that will never fire	fixed	L5-boot-states-storage (merge bbbb86a6, PR #749)	A player module that failed to load offers Reload 4a. Test: load-states (states-6). Round-2 review (2026-09-23): 'failed' is read from DOMContentLoaded (deferredScriptsRan), not readyState !== 'loading' — 'interactive' comes before the deferred modules run. Test: load-states 'ROUND 2 review (states-6)'.
states-7	Search: a dead episode endpoint and dead breadth passes fail silently whenever the local pass found anything — no failure line, no Try again	fixed	L4-search-create-playlists (merge 9018c0ce, PR #749)	A failed half of a search gets its own partial note whatever the row count. Test: show-search-fallthrough 'states-7'.
states-8	The show page says every outcome twice, in two wordings, one under the title and one in the body	fixed	L5-boot-states-storage (merge bbbb86a6, PR #749)	Each outcome is said once; the subtitle is empty while the body carries the status. Test: show-episode-load-states; show-page.
states-9	'Showing shows available offline' promises something 4a does not have — those shows are names only and every tap on one fails	fixed	L4-search-create-playlists (merge 9018c0ce, PR #749)	The offline note says what an offline search can honestly say, and only over a non-empty list. Test: offline-search.
states-10	Episode-search fallback note says '(N of the full list loaded so far)' but nothing will ever load more	fixed	L4-search-create-playlists (merge 9018c0ce, PR #749)	An in-show search over unfetched pages is a failed state with Try again. Test: show-page-search.
states-12	Search with a failed catalogue: 'Couldn't load the show list' + Try again sits beneath live search results and is hidden/unhidden by the focus rule as if it were browse furniture	refuted	audit verifier (round 2)	Verifier: refuted. Kept so it is not re-raised.
nav-1	‹ goes dead when history.back() lands on an entry with the same hash — hashchange never fires, backPending never clears	fixed	L6-navigation-firstrun-copy (merge 0aa38c2a, PR #749)	onPopState routes a same-hash traversal and hashchange routes the rest, so a step renders once. Test: back-navigation part 9.
nav-2	Android hardware back is the raw WebView back: with the drawer or Now Playing sheet open it closes the overlay AND changes the page underneath	fixed	L2-sheets-drawer-gestures (merge cc09460c, PR #749)	ForayNav.handleBack(): drawer, top sheet, one in-app step, exit; the Android hardware back is bound from init (DECISIONS). Test: drawer-ownership 'ROUND 2 nav-2'.
nav-3	Incomplete fix of qa 115: a back-step to Search results (#/shows/q/<q>) never re-applies its scroll restore, because the Search page never calls pageDidPaint	fixed	L6-navigation-firstrun-copy (merge 0aa38c2a, PR #749)	Show search calls pageDidPaint once its passes settle, token-guarded. Test: navigation-memory part 1.
nav-7	Incomplete fix of qa 80: the document title and the route announcement glue the explicit badge onto the name ('Some EpisodeE · 4a')	fixed	L6-navigation-firstrun-copy (merge 0aa38c2a, PR #749)	headingName() strips the explicit badge from the title and the announcement. Test: modal-and-focus part 6.
nav-8	A drawer link (or the wordmark) to the page you are already on is a silent no-op — including under the expanded Now Playing sheet, where it leaves the sheet covering the page you asked for	fixed	L2-sheets-drawer-gestures (merge cc09460c, PR #749)	The tab bar's same-hash tap rule applies to the drawer and the wordmark. Test: drawer-ownership 'ROUND 2 nav-8' (x2).
nav-9	☰ and ↻ are painted from the first frame but dead until every boot JSON has arrived	fixed	L5-boot-states-storage (merge bbbb86a6, PR #749)	☰ and ↻ are disabled until the line that binds them. Test: boot-path nav-9 (x3).
