id	lens	verdict	severity	file:line	title	lane
touch-8	touch	confirmed	medium	player/client.js:2494	Sheets have no entrance or exit motion: Now Playing appears instantly and, after a drag past the dismiss distance, vanishes from mid-screen instead of finishing the slide	L2-sheets-drawer-gestures
touch-9	touch	confirmed	low	styles.css:1262	Half of every two-tier row is dead to taps, and the half that is live gives feedback only on the title text: the row looks like one card but behaves like a link glued to a toolbar	L7-styles-touch-visual
touch-10	touch	confirmed	low	styles.css:2132	Inline description timestamps' 10px vertical padding overlaps the neighbouring lines, so the bottom fifth of a stamp — and the whole gap under it — seeks to the NEXT stamp	L7-styles-touch-visual
touch-11	touch	confirmed	low	styles.css:2549	The static segment strip inside horizontally scrolling rails carries `touch-action: pan-y`, so a sideways flick that starts on it cannot scroll the rail	L7-styles-touch-visual
player-4	player	confirmed	medium	player/client.js:3827	"Previous clip" pressed during a narration line always restarts the line — you can never go back past a narrator	L1-player-transport
player-5	player	confirmed	medium	player/client.js:1432	30↻ inside a Foray has no end guard: a forward nudge near the end finishes the Foray and wipes its Jump back in row	L1-player-transport
player-7	player	confirmed	medium	player/client.js:1654	A Foray clip that fails to load says nothing on the mini bar or sheet — the message lives only on the Foray page	L1-player-transport
player-8	player	confirmed	low	player/client.js:3103	Jump back in and the restored ribbon disagree about a finished episode: the card says Played 100%, the ribbon shows 0:00 with an empty bar	L1-player-transport
player-9	player	confirmed	low	player/playback-rate.js:202	Both speed buttons open a menu, but their accessible name still says "tap for the next speed"	L1-player-transport
player-10	player	confirmed	low	player/client.js:2334	A restored Foray's lock-screen/car entry is built as an episode: the artist slot reads "Foray · clip 3 of 32" and the counter never follows a scrub	L1-player-transport
player-11	player	confirmed	low	player/client.js:3886	↺15 during a spoken narration line does nothing, silently	L1-player-transport
visual-1	visual	confirmed	medium	styles.css:2085	Episode-notes disclosure chevron renders as a rotated capital "A" (mangled CSS escape)	L7-styles-touch-visual
visual-2	visual	confirmed	medium	styles.css:1203	Interests sliders paint the browser's default blue on an amber/violet page	L7-styles-touch-visual
visual-3	visual	confirmed	low	styles.css:725	Home card branch dot is violet on most cards and reads as part of the Stretch tag	L7-styles-touch-visual
visual-4	visual	confirmed	medium	app.js:8478	Episode page's sticky header is the whole 2–3-line title; same title is a step smaller and under the art in Now Playing	L7-styles-touch-visual
visual-5	visual	confirmed	low	styles.css:2694	The same transport buttons have two type specs, two elevations and two heights on the Foray page vs the Now Playing sheet	L7-styles-touch-visual
visual-6	visual	confirmed	low	app.js:903	Tab roots (Search, Create, Library, Playlists) carry a boxed ‹ back button while Home has none; boxed ‹ sits under borderless ☰/↻	L7-styles-touch-visual
visual-7	visual	confirmed	low	app.js:9631	"Where this came from" rows: the ↗ link floats at a different x on every row	L7-styles-touch-visual
visual-11	visual	confirmed	low	styles.css:1385	Up Next row mixes circular and rounded-square 40px controls on one line	L7-styles-touch-visual
visual-12	visual	confirmed	low	styles.css:2735	Section titles at two steps (and a third on Interests) while the comment claims one	L7-styles-touch-visual
visual-13	visual	confirmed	low	styles.css:2013	Four page gutters: 12px pages, 14px Home, 16px Now Playing sheet, 18px other sheets	L7-styles-touch-visual
visual-14	visual	confirmed	low	styles.css:3584	Row elevation is mixed inside one column (lifted, flat, lifted) on Library and Foray pages	L7-styles-touch-visual
visual-15	visual	confirmed	low	styles.css:2335	Row titles split 600/700 by surface; the Forays page row is heavier than the same Foray's Home card	L7-styles-touch-visual
visual-16	visual	confirmed	low	app.js:7345	Search results: the shows tier has no eyebrow while Episodes and Playlists do	L7-styles-touch-visual
visual-17	visual	confirmed	low	app.js:582	Interests page says every branch name twice (group heading over a single card with the same name)	L7-styles-touch-visual
a11y-1	a11y	confirmed	medium	docs/DECISIONS.md:41	Zoom was removed on the stated ground that "Dynamic Type already scales the page" — but nothing in the page or the iOS shell honours Dynamic Type, so the only text-size affordance a low-vision listener had is gone with no replacement	L3-queue-and-native-surfaces
a11y-2	a11y	confirmed	medium	player/client.js:730	The player's only live region sits inside the mini bar, and expanding Now Playing makes that bar inert — so "Buffering…" and "That episode could not load" are never announced from the screen the listener is actually on	L2-sheets-drawer-gestures
a11y-3	a11y	confirmed	medium	styles.css:1768	The search field is the one control on which the app's own focus ring is switched off: `#sh-compose #sh-input:focus { outline: none }` out-ranks the global `:focus-visible` ring and nothing replaces it	L7-styles-touch-visual
a11y-5	a11y	confirmed	medium	app.js:5381	First-run explainer: pressing "Get started" wipes the dialog body, so the focused button is destroyed and focus falls to <body> inside an open modal; the new step's title is never spoken	L2-sheets-drawer-gestures
a11y-6	a11y	confirmed	medium	player/client.js:2097	Stop in the Now Playing sheet hands focus to the mini bar's title button and then hides the whole player, so focus dies on a hidden element and the stop is never announced	L2-sheets-drawer-gestures
a11y-7	a11y	confirmed	low	player/client.js:1488	Seek slider is rewritten four times a second while focused, so a screen reader parked on it hears a running clock instead of a position	L1-player-transport
a11y-8	a11y	confirmed	low	app.js:11277	Drawer settings are plain buttons whose only state cue is the word after the colon — no switch role, so "Continuous playback: on" is announced as a button and the flip is never confirmed	L6-navigation-firstrun-copy
a11y-9	a11y	confirmed	low	styles.css:1964	Reduced motion covers three strip rules only; the Now Playing sheet's spring-back, the description chevron, the mini-card press and the page-head collapse still animate under prefers-reduced-motion	L7-styles-touch-visual
a11y-10	a11y	confirmed	low	app.js:12895	Navigating to Home announces nothing and moves nothing: it has no page heading, so landOnPage's two mechanisms both no-op	L6-navigation-firstrun-copy
a11y-11	a11y	confirmed	low	app.js:938	The Explicit badge relies on `aria-label` on a bare <span> and `title` tooltips carry the only explanation of "Stretch" and "Not available to play" — none of which is exposed on touch or to most screen readers	L6-navigation-firstrun-copy
races-1	races	confirmed	medium	player/client.js:3606	A play-then-seek that is superseded mid-load still fires its seek, onto whatever loaded next — a resume followed by Next clip seeks the new clip to the old clip's episode offset and disarms the boundary	L1-player-transport
races-2	races	confirmed	medium	app.js:2827	The Search page's ✕ / Escape clears the field but not the in-flight search: the cleared query's results, episodes, CTA and even its address come back a moment later	L4-search-create-playlists
races-4	races	confirmed	medium	app.js:187	When hydration overruns the 5 s bound, init()'s own writes (profile id, anonymous session, seen-set, and the interests profile on the first play) permanently shadow the durable copies — only the playback rate was fixed	L5-boot-states-storage
races-6	races	confirmed	low	app.js:13018	Incomplete fix of qa 80: pages that paint 'Loading…' first (Foray page, Forays list, Library before the module) never announce their name — the late paint lands with navigated:false and focus already on #view	L6-navigation-firstrun-copy
races-7	races	confirmed	low	app.js:13473	retryForayDocs repaints whatever page is on screen when its three un-deadlined fetches finally return — and fetchJson has no deadline, so the Foray page's 'Try again' can never reach a failed state on a stalled socket	L5-boot-states-storage
states-2	states	confirmed	medium	app.js:3916	A curated show whose episode fetch fails offers no Try again — the subtitle says 'couldn't load the full list' and nothing on the page can retry it	L5-boot-states-storage
states-3	states	confirmed	medium	app.js:9854	A Foray whose segments.json (or segment-sources.json) did not load paints as content — 'N clips from this foray couldn't be found, so they're left out' over an empty running order, with no Try again	L5-boot-states-storage
states-4	states	confirmed	medium	app.js:3315	The show page's episode fetch, the boot fetch and the show-index fetch have no deadline — 'Loading episodes…' / 'Loading 4a…' can spin forever on a black-holed connection, and the native shell has no service worker to cut it off	L5-boot-states-storage
states-6	states	confirmed	low	app.js:9143	'Try again' after 'The player didn't load' cannot succeed — it only waits another 5 s for a module event that will never fire	L5-boot-states-storage
states-7	states	confirmed	medium	app.js:7448	Search: a dead episode endpoint and dead breadth passes fail silently whenever the local pass found anything — no failure line, no Try again	L4-search-create-playlists
states-8	states	confirmed	low	app.js:3480	The show page says every outcome twice, in two wordings, one under the title and one in the body	L5-boot-states-storage
states-9	states	confirmed	low	app.js:2936	'Showing shows available offline' promises something 4a does not have — those shows are names only and every tap on one fails	L4-search-create-playlists
states-10	states	confirmed	low	app.js:3988	Episode-search fallback note says '(N of the full list loaded so far)' but nothing will ever load more	L4-search-create-playlists
states-12	states	refuted	low	app.js:2700	Search with a failed catalogue: 'Couldn't load the show list' + Try again sits beneath live search results and is hidden/unhidden by the focus rule as if it were browse furniture	
nav-1	nav	confirmed	medium	app.js:13184	‹ goes dead when history.back() lands on an entry with the same hash — hashchange never fires, backPending never clears	L6-navigation-firstrun-copy
nav-2	nav	confirmed	medium	mobile/package.js:12826	Android hardware back is the raw WebView back: with the drawer or Now Playing sheet open it closes the overlay AND changes the page underneath	L2-sheets-drawer-gestures
nav-3	nav	confirmed	medium	app.js:12985	Incomplete fix of qa 115: a back-step to Search results (#/shows/q/<q>) never re-applies its scroll restore, because the Search page never calls pageDidPaint	L6-navigation-firstrun-copy
nav-7	nav	confirmed	low	app.js:12883	Incomplete fix of qa 80: the document title and the route announcement glue the explicit badge onto the name ('Some EpisodeE · 4a')	L6-navigation-firstrun-copy
nav-8	nav	confirmed	low	app.js:11097	A drawer link (or the wordmark) to the page you are already on is a silent no-op — including under the expanded Now Playing sheet, where it leaves the sheet covering the page you asked for	L2-sheets-drawer-gestures
nav-9	nav	confirmed	low	app.js:14010	☰ and ↻ are painted from the first frame but dead until every boot JSON has arrived	L5-boot-states-storage
nav-10	nav	confirmed	low	app.js:13928	Inside the native shell a relaunch after the OS kills the app lands on Home with no history; the route lives only in the URL hash	L6-navigation-firstrun-copy
copy-1	copy	confirmed	low	app.js:11734	Incomplete fix of qa 141: Delete-my-data still says "This browser has taken storage away" and tells a phone listener to "Reload" five times	L6-navigation-firstrun-copy
copy-6	copy	confirmed	low	player/client.js:920	The same failure is worded three ways across the Foray page, the sheet and the mini bar	L6-navigation-firstrun-copy
copy-7	copy	confirmed	low	app.js:9169	Incomplete fix of qa 151: the down-vote chip still says "topic" where the whole app says "subject"	L6-navigation-firstrun-copy
copy-8	copy	confirmed	low	app.js:7007	Curly quotes on one button, straight quotes on every other quoted query	L4-search-create-playlists
copy-9	copy	confirmed	low	app.js:8557	An Up Next row for an episode the catalogue no longer names says "Removed from your history" — nothing was removed and it is not History	L3-queue-and-native-surfaces
copy-10	copy	confirmed	low	app.js:8101	partsNote's plural sentence ends in the singular: "they stay listed so you can see where it fits"	L6-navigation-firstrun-copy
copy-11	copy	confirmed	low	app.js:5603	Two narrators: the app is "4a" in most copy and "we/us/our" in the rest, sometimes on one screen	L6-navigation-firstrun-copy
copy-12	copy	confirmed	low	app.js:12035	Voice picker rows carry the maintainer's notes-to-self: "unverified name", "Enhanced tier is a free download", "unknown language"	L6-navigation-firstrun-copy
copy-13	copy	confirmed	low	app.js:11043	Page-head fragments in three registers: "none yet", "0 queued" over "Nothing in Up Next yet", "0 built", and a lowercase Library subtitle	L6-navigation-firstrun-copy
copy-14	copy	confirmed	low	app.js:1091	The Follow note reads like a bug report: "4a doesn't add its new episodes anywhere."	L6-navigation-firstrun-copy
copy-15	copy	confirmed	low	app.js:1009	Every date prints its year, unlike Apple Podcasts, which drops it for the current year	L6-navigation-firstrun-copy
persist-1	persist	confirmed	high	app.js:11531	Delete my data rotates the Supabase refresh token without saving it, so a remote failure strands the account: retry can never succeed and the next sync silently mints a new identity	L5-boot-states-storage
persist-2	persist	confirmed	medium	app.js:11949	A finished deletion re-renders Home, which writes cp_playlists back into every tier and pops the first-time onboarding sheet over the "Done. This device is clear." message	L5-boot-states-storage
persist-3	persist	confirmed	medium	docs/legal/privacy-policy.md:353	The privacy policy contradicts index.html and data-safety.md on the CSP origin count, on who sees Shows searches, and on whether the search upload is miss-only	L5-boot-states-storage
persist-4	persist	confirmed	low	app.js:5943	The Shows-search shard cache is keyed by what you typed and survives Delete my data, and neither it nor the Foray-directory database is in the policy's inventory	L5-boot-states-storage
persist-5	persist	confirmed	low	player/diagnostic-log.js:495	After Delete my data the diagnostics record comes back carrying the pre-deletion row count and the exact time of the deletion	L5-boot-states-storage
persist-6	persist	confirmed	medium	player/durable-store.js:269	The native Preferences copy of every cp_ row (including the auth token) rides platform backups, contradicting 'never leaves the device' and undoing Delete my data on a restore	L5-boot-states-storage
persist-7	persist	confirmed	low	app.js:11811	'Clear this device only' destroys the only credential to the server rows without saying they become permanently undeletable	L5-boot-states-storage
persist-8	persist	confirmed	low	app.js:365	An event sync in flight when Delete is tapped is not gated by dataDeletionInProgress and can re-plant the old cp_sb_session on the cleared device	L5-boot-states-storage
persist-9	persist	confirmed	low	player/position-store.js:46	cp_pos:<id> rows are never pruned, and the native tier pays one bridge call per row on every launch	L5-boot-states-storage
honesty-1	honesty	confirmed	medium	app.js:8037	Episode row prints the catalogue's duration_min while its own 'min left' and the player count against duration_sec — for 19 pool items these disagree by a minute or more, two by 5–9 minutes ('45 min · 53 min left')	L6-navigation-firstrun-copy
honesty-4	honesty	confirmed	low	player/client.js:3087	The player's row-progress bridge prefers the catalogue's duration over the duration it measured off the media element — the opposite priority of the mini bar — so 'Played' / 'min left' on rows are computed against the number the same module calls less accurate	L1-player-transport
honesty-5	honesty	confirmed	medium	app.js:8482	The episode page and Up Next rows carry no 'Played' / 'NN min left' marker although every other episode row does	L3-queue-and-native-surfaces
honesty-6	honesty	confirmed	low	app.js:8150	Playlist header's 'N played' counts episodes that were merely opened or are half-way through, directly above rows that say '42 min left' for those same episodes	L3-queue-and-native-surfaces
honesty-7	honesty	confirmed	low	app.js:7666	Home's Jump back in rail mixes three card grammars: Forays and episodes get a bar and 'N min left', playlists get only 'N episodes' with no progress	L6-navigation-firstrun-copy
honesty-8	honesty	confirmed	low	styles.css:3823	Incomplete fix of qa 55: 'N min left' is amber-bold on the Forays page and the Foray page but muted grey, regular weight on Home's Jump back in card	L7-styles-touch-visual
honesty-11	honesty	confirmed	low	app.js:7430	Search tab's Episodes section is silently capped at 10 rows with no count and no 'more' while the show page's own search says 'N episodes found.'	L4-search-create-playlists
honesty-12	honesty	confirmed	low	app.js:8738	Library's Forays section reads its 'N min left' from the Home rail's 3-row cap, so a fourth part-played Foray shows an empty subtitle, and a part-played draft loses its 'draft' tag	L8-foray-surfaces
honesty-13	honesty	confirmed	low	player/client.js:1338	remainingClock's comment says 'both clocks floor' but the episode clock rounds: the countdown drops its minus sign for the last half-second at '0:01', and elapsed + remaining can sum to one second more than the duration	L1-player-transport
native-2	native	confirmed	high	mobile/plugins/foray-audio/web/foray-audio-shell.js:664	A Foray that opens with narration runs its first minute on Android with no foreground service, no notification and no lock-screen controls, and the first tape segment's start is refused if the phone is already pocketed	L3-queue-and-native-surfaces
native-3	native	confirmed	medium	player/queue-manager.js:985	An iOS interruption (call, Siri, another app) during a narration line leaves the Foray showing 'Playing' in silence forever	L1-player-transport
native-6	native	uncertain	low	mobile/plugins/foray-audio/ios/Sources/ForayAudioPlugin/ForayAudioPlugin.swift:358	The plugin's belief that it holds the audio session goes stale after WebKit's delayed category change, so the car-connect re-hold is skipped	
native-7	native	confirmed	medium	mobile/plugins/foray-audio/android/src/main/java/ai/jwlabs/foura/audio/PlaybackKeepAliveService.java:487	Android media notification never offers 15/30 skips; a single episode with nothing queued has only play/pause and Stop	L3-queue-and-native-surfaces
native-8	native	confirmed	low	mobile/plugins/foray-audio/android/src/main/java/ai/jwlabs/foura/audio/PlaybackKeepAliveService.java:311	Every notification button press re-posts the notification through startForeground before the page has answered; on Android 14+ a dismissed notification pops straight back	L3-queue-and-native-surfaces
native-10	native	confirmed	low	mobile/plugins/foray-tts/ios/Sources/ForayTtsPlugin/ForayTtsPlugin.swift:647	Only narration lines run with the .spokenAudio session mode, so a navigation prompt pauses 4a mid-sentence but ducks it mid-clip	L3-queue-and-native-surfaces
perf-1	perf	confirmed	medium	app.js:13868	Boot's main data fetch waits for the whole 28-module player graph (5 serial round trips) plus IndexedDB hydrate before it starts	L5-boot-states-storage
perf-3	perf	confirmed	medium	app.js:13994	Search-vocabulary priming is a ~0.5-1 s single main-thread task that fires on a 0 ms timer in the native shell, right when the listener starts tapping	L5-boot-states-storage
perf-4	perf	confirmed	medium	sw.js:200	On every deploy day the first open downloads the whole ~1.3 MB bundle twice, in parallel with first paint	L5-boot-states-storage
perf-5	perf	confirmed	low	tools/ci/generate-manifest.mjs:194	Brand fonts are not in the deploy manifest, so every launch flashes the fallback typeface, and a dead zone shows the wrong face for 6 s	L5-boot-states-storage
perf-6	perf	confirmed	low	sw.js:452	The service worker re-hashes and rewrites ~5 MB into CacheStorage on every launch, even when nothing changed	L5-boot-states-storage
perf-7	perf	confirmed	low	player/client.js:2821	The player repaints every play button on the page four times a second, including in the background	L1-player-transport
perf-8	perf	confirmed	low	app.js:13046	Horizontal rails on Home snap back to the first card on every return and every in-place re-render	L6-navigation-firstrun-copy
perf-9	perf	deliberate	low	app.js:13862	Incomplete fix of qa 101: on a cold cache the body is still blank under the header until 1 MB of unminified JS has downloaded and parsed	
perf-10	perf	confirmed	low	app.js:8631	Every Up Next reorder tap rebuilds the whole page and re-snapshots the entire 2,167-item pool	L3-queue-and-native-surfaces
search-1	search	confirmed	medium	app.js:6464	Shows found by the on-device index paint a blank grey square and no byline, and keep them after the endpoints deliver the artwork	L4-search-create-playlists
search-2	search	confirmed	high	app.js:7004	"Create a playlist about X" is offered exactly when the build is guaranteed to fail — a one-tap dead end	L4-search-create-playlists
search-3	search	confirmed	medium	app.js:2987	The return key does not dismiss the iOS keyboard from the search field, and the keyboard is the wrong keyboard	L4-search-create-playlists
search-4	search	confirmed	low	app.js:6719	Incomplete fix of adversarial-review defect 2: a degraded catalogue reply is cached as the answer and counted as 'answered', so "No shows found" is permanent with no Try again	L4-search-create-playlists
search-5	search	confirmed	medium	app.js:11178	Tapping the Search tab throws the search away (second-order with qa 126): only ‹ keeps the query, the tab does not	L4-search-create-playlists
search-7	search	confirmed	medium	app.js:6851	Re-running the same query (trailing space, or return while passes are in flight) repaints local-only, dropping merged rows and doubling requests	L4-search-create-playlists
search-8	search	confirmed	medium	app.js:7331	Apple episodes starred, queued or played from Search carry no artwork, so the lock screen and car fall back to the 4a icon (incomplete fix of the 2026-09-21 car-art report)	L4-search-create-playlists
search-9	search	confirmed	low	search-engine.js:2024	Local passes and the dedup keys are not diacritic-folded while the shard pass and rankShows are — accented titles miss locally, then arrive late and can duplicate	L4-search-create-playlists
search-10	search	deliberate	low	app.js:5785	On a first search of the session the index lands after the endpoints and its prefix rows sort under Apple's	
search-11	search	confirmed	low	styles.css:1035	Result-row titles have no line clamp: 152 index titles exceed 80 characters and produce 3-4 line rows beside 1-line rows	L7-styles-touch-visual
search-12	search	confirmed	low	app.js:6298	An offline (or captive-portal) empty search stacks three contradicting notes under the pill	L4-search-create-playlists
p-car-8	p-car	confirmed	low	player/client.js:2318	During a network stall the lock screen keeps counting and the car says PLAYING at full rate over silence	L1-player-transport
p-switcher-2	p-switcher	confirmed	medium	player/client.js:1578	Now Playing sheet renders episode notes as dead text: no tappable links, no timestamps, not collapsed — the 2026-09-17 ruling reached only the episode page	L2-sheets-drawer-gestures
p-switcher-5	p-switcher	confirmed	medium	player/client.js:872	Now Playing sheet has no Up Next, no Save and no sleep timer — the three things an Apple user reaches for from the player	L3-queue-and-native-surfaces
p-switcher-7	p-switcher	confirmed	medium	app.js:7330	Episode search results drop the publish date and the show name is not a link for any non-curated show	L4-search-create-playlists
p-first-1	p-first	confirmed	medium	app.js:4727	Onboarding picks mostly do not reach the first Home: with real taxonomy weights the +0.20/√n lift loses to Engineering 0.9 / History 0.8 and ±0.25 jitter	L6-navigation-firstrun-copy
p-first-2	p-first	confirmed	medium	app.js:13867	First launch on a Light-mode phone paints the loading screen in the retired v1 light palette, then hard-cuts to the dark v2 design at first route (second-order of the persona 43 fix)	L5-boot-states-storage
p-first-3	p-first	confirmed	medium	app.js:4740	"Or type a subject yourself…" silently discards anything that is not an exact top-level taxonomy label	L6-navigation-firstrun-copy
p-first-4	p-first	confirmed	low	app.js:5295	The first-run sheet's dismiss affordances are inverted: the drawn grab handle does nothing, while a tap on the dimmed background ends onboarding permanently	L2-sheets-drawer-gestures
p-first-5	p-first	confirmed	low	app.js:4917	A newcomer who arrives by a shared Foray link and then taps Home gets the Welcome sheet over a playing player, with the mini bar made inert	L2-sheets-drawer-gestures
p-first-6	p-first	confirmed	medium	app.js:8835	Two playlist builders with two vocabularies: drawer "Playlists" (#/playlists, "build me a playlist…", Go) and tab "Create" (#/create, "e.g. the semiconductor supply chain", Build) — incomplete fix of persona 76	L4-search-create-playlists
p-first-7	p-first	confirmed	low	app.js:5418	"Start listening" starts nothing: the button that ends onboarding drops the newcomer on a Home with no play control	L6-navigation-firstrun-copy
p-first-8	p-first	confirmed	low	styles.css:3773	Home opens with the wordmark twice: the topbar's italic "4a" and the greeting's identical italic "4a" stacked ~50 px apart (second-order of qa 47)	L7-styles-touch-visual
p-first-10	p-first	confirmed	low	app.js:8159	Every subject/playlist page tells a newcomer "0 played" in its subtitle	L6-navigation-firstrun-copy
p-first-12	p-first	confirmed	low	app.js:2945	Search's top row for a newcomer is "Followed shows ›" leading to an empty page	L4-search-create-playlists
p-impatient-1	p-impatient	confirmed	medium	player/client.js:1424	A ↺15 / 30↻ tap while a resumed episode is still loading throws the resume point away — ↺15 restarts the episode from 0:00, 30↻ lands at 0:30	L1-player-transport
p-impatient-6	p-impatient	confirmed	medium	app.js:2106	The Up Next page goes stale while you watch it: when an episode ends and continuous playback removes it, the finished row stays listed as #1 and 'N queued' is one too many until you touch an arrow — then the list jumps	L3-queue-and-native-surfaces
p-impatient-7	p-impatient	confirmed	medium	player/client.js:808	There is no in-app way to skip to the next queued episode: the sheet has no ⏭ and no Up Next list, so 'next' exists only on the lock screen and the car — and the in-app workaround (tap row 2 on the Up Next page) replays row 1 later	L3-queue-and-native-surfaces
p-impatient-8	p-impatient	confirmed	low	app.js:8622	Up Next reorder is one step per tap with a full page rebuild each time — moving the bottom of a 20-deep queue to the top is 19 taps; no drag handle, no 'play next', no swipe-to-remove, no clear	L3-queue-and-native-surfaces
