src	tsvRow	title	disposition	where	note
qa	26	Every transport control except play/pause is dead on a restored ribbon, and a scrub there is silently discarded	fixed	L2-player (merge b6c75e9, PR #742); 3c7cf42	every episode seek goes through seekEpisodeTo/By, which move a restored bar
qa	27	An episode you just finished shows an empty progress bar and "60 min left" in Jump back in	fixed	L2-player (merge b6c75e9, PR #742); 21c3d21	Jump back in reads the raw row: a finished episode says Played at 100%
qa	28	Spoken narration bridges play at the listener's chosen speed, contradicting the 1.0x rule, and the Foray clock jumps at the seam	deferred-founder	L2-player (merge b6c75e9, PR #742)	synthesized bridges speak at the listener's rate on purpose (resetRateForTTS) against corner case #18's 1.0x; founder question
qa	29	Mini-bar progress fill and scrub thumb keep the previous episode's position when the new duration is unknown	fixed	L2-player (merge b6c75e9, PR #742); 3c7cf42	render() always writes fill and thumb; an unknown duration paints 0
qa	30	The in-list card's play glyph disagrees with the mini bar's during a seam beat and in the #689 drift case	fixed	L2-player (merge b6c75e9, PR #742); 16a334a	syncCardButtons reads transportIsRunning()
qa	31	Lock screen / car reports PAUSED while audio is coming out (the #689 drift is not fixed on the OS surface)	fixed	L2-player (merge b6c75e9, PR #742); 16a334a	the lock screen's playing state reads transportIsRunning()
qa	32	After a narration bridge the next segment loads cold — the jingle plays, then several seconds of unexplained silence	refuted	audit verifier	refuted by the 2026-09-22 adversarial verifier; kept so it is not re-raised
qa	33	"Timings on this show are approximate." can never appear	refuted	audit verifier	refuted by the 2026-09-22 adversarial verifier; kept so it is not re-raised
qa	34	Two quick taps of "››" advance one segment and freeze the clock in between	refuted	audit verifier	refuted by the 2026-09-22 adversarial verifier; kept so it is not re-raised
qa	35	"30 ↻" has no upper clamp while "↺ 15" clamps at zero	fixed	L2-player (merge b6c75e9, PR #742); 3c7cf42	clampEpisodeTarget clamps every seek to [0, duration - 1 s]
qa	36	"››" on the last segment does nothing and is never disabled	fixed	L2-player (merge b6c75e9, PR #742); a8ad521, cd1c212	the next-clip button is disabled on the last segment, and looks it
qa	37	Scrubbing into a narration bridge computes a NaN target and restarts the bridge from the top	fixed	L2-player (merge b6c75e9, PR #742); a8ad521	a scrub into a bridge lands where aimed (no NaN)
qa	38	A timestamp tap passes a string where the player expects `{ why }`	fixed	L2-player (merge b6c75e9, PR #742); f9b86dc	play() accepts only opts.why; the timestamp handler passes whyFor()
qa	39	A finished Foray's main button says "▶ Resume" while the lock screen shows no transport at all	fixed	L2-player (merge b6c75e9, PR #742); 16a334a	a finished Foray says Start over and the press restarts it
qa	40	Remaining time reads "-0:00" at the exact end instead of settling at zero or saying finished	fixed	L2-player (merge b6c75e9, PR #742); 3c7cf42	the countdown reads 0:00 at the end, not -0:00
qa	41	v1's light-mode palette leaks onto the permanently-dark ui-v2 page	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	ui-v2 aliases every v1 token a live rule reads; ui-tokens enumerates them
qa	42	"Delete everything" is violet like every other primary button — its red is overridden	fixed	L6-persist-settings (merge c9273f7, PR #742); 08721ba	the delete confirm reads --danger
qa	43	Home's "Episodes for you" cards are v1: Georgia titles at 1.2rem beside Fraunces at 0.95rem	fixed	visual pass 1 (PR #744); d55726e	Georgia -> the display face at the title step; founder ruling 2026-09-23 (docs/DECISIONS.md); pinned by test/ui-tokens.test.js
qa	44	The stretch bridge line is injected inside .mini-card's flex row, so it lands beside the star button	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	the stretch bridge line is a row of its own
qa	45	"Generated for you" is amber on Home and violet on Search — and amber contradicts the documented split	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	Home badge is violet like Search; the two badge shapes are a founder taste question
qa	46	The "Stretch" tag is blue on one Home card and violet on the next	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	--accent aliases --violet under ui-v2
qa	47	The brand wordmark in the topbar is Georgia; the .wordmark rule written for it is never used	fixed	visual pass 1 (PR #744); d55726e	the topbar 4a is the .wordmark (Fraunces italic), the greeting's mark; founder ruling 2026-09-23
qa	48	A Foray page's sticky transport pins behind the sticky page header	fixed	L3-styles-sheets (merge 3d734d2, PR #742); b3d1031	--page-head-h published; the Foray transport pins beneath a showing header
qa	49	Home always scrolls by the height of the tab bar into empty background	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	Home v2 drops the inherited 100svh floor
qa	50	The Create page's primary button is v1 blue; the identical button on Playlists is violet	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	the Create button joins the violet primary rule
qa	51	Section labels on one page are half Fraunces, half Georgia	fixed	visual pass 1 (PR #744); d55726e	one eyebrow style (text face, caption step, small caps) on every section label; founder ruling 2026-09-23
qa	52	On a light-set device the segment strip's narration hatch turns black on a dark page	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	the dark segment palette is owned on the ui-v2 scope
qa	53	Search results show three row shapes, and the Playlists section's rows sit at double the gap	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	double gap and row radius fixed; elevation difference left as taste
qa	54	"Tap a subject" pills are two different components on two screens	fixed	visual pass 1 (PR #744); d55726e; 30ecc0f	one pill (.fy-chip) on Search, Create and the reason sheet; .cr-pill gone; in the 44px tap-target rule since the review; founder ruling 2026-09-23
qa	55	"N min left" is gold on a Foray page and amber on Home	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	--gold aliases --amber under ui-v2
qa	56	The menu's only coloured item is "Delete my data", in a retired v1 gold	fixed	L6-persist-settings (merge c9273f7, PR #742); 08721ba	'Delete my data' is an ordinary drawer item
qa	57	v1 accent blue survives in five live v2 controls	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	all five controls read --accent, now violet
qa	58	Chapter rows, Foray rows and source links have hover-only feedback on a touch-first app	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	:active paired with every hover-only rule
qa	59	The same square artwork is flat-and-bordered on the Episode page and heavily lifted-and-unbordered in the Now Playing sheet	fixed	visual pass 1 (PR #744); d55726e	one square-artwork treatment (md radius, hairline, --shadow-lift) on show, episode and Now Playing; founder ruling 2026-09-23
qa	60	There is no radius scale: --radius is used 13 times out of 74, and one sheet contains four radii	fixed	visual pass 1 (PR #744); d55726e; ac42def	a seven-step radius scale, every corner reads it; rows/cards on lg, controls on md, CTAs capsules (Go/Build fixed in the review); founder ruling 2026-09-23
qa	61	Token values are duplicated as raw hex, so the palette can drift against itself	refuted	audit verifier	refuted by the 2026-09-22 adversarial verifier; kept so it is not re-raised
qa	62	Clear-search ✕ is bound to mousedown only, so Enter/Space do nothing	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	clear-search answers keyboard clicks
qa	63	The Foray segment strip is clickable but keyboard-unreachable and nameless	refuted	audit verifier	refuted by the 2026-09-22 adversarial verifier; kept so it is not re-raised
qa	64	Every action in the Narration-voice sheet destroys the element that was just activated	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	voice sheet restores focus to the same voice and announces the selection
qa	65	Up Next reorder and remove rebuild the whole page, so focus is lost on every press	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	Up Next reorder/remove keep focus and announce
qa	66	The voice-fallback hint is rewritten into an aria-live region four times a second	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	the Foray notice line is written once per change
qa	67	Star buttons' accessible names are frozen — and the show star's is inverted after one tap	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	star buttons' names follow state: Save episode/Saved, Follow/Followed
qa	68	A playing card's play button still announces "Play <title>" while it means Pause	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	a playing card's button is renamed Pause <title>
qa	69	The mini bar's info button hides the episode title from screen readers and lies about collapsing	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	the mini bar is named 'Now playing: <title>, <show>' with aria-expanded in sync
qa	70	No sheet in the app moves focus, traps Tab, or closes on Escape	fixed	L3-styles-sheets (merge 3d734d2, PR #742); a0aa104, 4c279e6	one openSheet/closeSheet owner: focus, inert, Tab trap, Escape, single instance
qa	71	The Now Playing sheet is a full-screen overlay with no dialog semantics at all	fixed	L3-styles-sheets (merge 3d734d2, PR #742)	Now Playing is role=dialog aria-modal, opened through the owner
qa	72	The scrub slider announces raw 0–1000 ticks instead of a time	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	the scrub slider has aria-valuetext '<now> of <total>'
qa	73	Search results and result counts paint with no live region	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	search notes are polite status regions
qa	74	Six text fields are labelled by placeholder alone	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	every text field has an aria-label; search forms are role=search
qa	75	The Foray main button says "Resume" / "Loading…" but announces "Play"	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	the Foray main button's name matches its text in all four states
qa	76	Which Foray beat is playing, and which are done, is conveyed only visually	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	running-order rows carry aria-current and a state name
qa	77	Down-vote reason chips signal selection with colour only, no aria-pressed	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	down-vote chips carry aria-pressed
qa	78	Play and star buttons are nested inside the anchors they sit on	fixed	visual pass 1 (PR #744); 30ecc0f; ac42def	Jump back in and the subject cards are stretched-link cards (title is the one <a>, controls are siblings); the unreachable Continue banner was deleted rather than restructured; test/card-anatomy.test.js walks the rendered HTML and every template literal
qa	79	ui-v2's --faint fails contrast on real copy and on the Up Next remove button	fixed	sweep (PR #742); d6ae770	handed from L4 to L3 and not taken: --faint paints no text or live control (six sites to --muted); ui-tokens pins the rule
qa	80	A route change moves no focus, announces nothing, and never updates the page title	fixed	sweep (PR #742); 322d761	handed from L3 to L1 and not taken: landOnPage() names the document after the page heading, lands lost focus on it (or #view), announces when focus survived
qa	81	Voice rows use an orphan radio role with a nested button and all rows as tab stops	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	voice list is a radiogroup with roving tabindex and a sibling Preview button
qa	82	`bindForayScripts` adds a click listener to the persistent `#view` on every Foray render, so "Show more" toggles N times per tap	fixed	L1-identity-nav (merge d4e8725, PR #742)	Show-more toggle is one delegated listener bound once from init()
qa	83	Show page's "still mounted" check is not show-specific: show A's episodes, description and count paint onto show B's page	fixed	L1-identity-nav (merge d4e8725, PR #742)	renderEpoch/renderToken(): async show paints compare render identity, not container presence
qa	84	Leaving and re-entering #/shows does not supersede in-flight search passes, so the previous query's results paint onto an empty search box	fixed	L1-identity-nav (merge d4e8725, PR #742)	renderAllShows supersedes in-flight show-search passes
qa	85	`anyStale` is sticky and the unchanged-list early return skips the repaint, so the show page keeps saying "couldn't refresh just now" after a refresh that succeeded	fixed	L1-identity-nav (merge d4e8725, PR #742)	anyStale set by the latest answer; the unchanged-list branch repaints the count label
qa	86	A foreground directory refresh re-renders the whole show/Foray page under the listener, dropping a typed episode search and the keyboard	fixed	L1-identity-nav (merge d4e8725, PR #742)	foreground refresh repaints only when the Foray surface signature changed; show page repaints only its footer slot
qa	87	The "4a is showing its last saved copy" bar reappears after being dismissed, because the worker sends one `stale-shell` per code file	fixed	L1-identity-nav (merge d4e8725, PR #742)	shellNoticeDismissed holds for the page load
qa	88	`syncCardButtons` rewrites a row's play glyph but never its `aria-label`, so a screen reader is told "Play <episode>" on a button that pauses	fixed	L4 (merge dd4ddcf); sweep (PR #742) re-verified	same defect as qa 68: syncCardButtons repaints the aria-label through paintControl ('Pause <title>')
qa	89	`_loadItem` stamps `_loadedId` before its supersession check, so a superseded load can claim the element and cost the listener their position on the next resume	fixed	L2 commit 760906d; sweep (PR #742) re-verified	_loadItem checks _loadSeq before stamping _loadedId; pinned in transport-reconcile part 5
qa	90	`HtmlAudioBackend.load()` installs media listeners with no `_loadSeq` guard, so an overlapping load seeks the element to the abandoned segment's in-point	fixed	L2 commit 760906d; sweep (PR #742) re-verified	HtmlAudioBackend.load listeners capture _loadSeq and settle as superseded
qa	91	The Foray page's speed menu has no single-instance guard, so two taps stack two modals and one Cancel leaves the page covered	fixed	L3 (merge 3d734d2); sweep (PR #742) re-verified	speed menu goes through the openSheet owner's single-instance rule; pinned in modal-and-focus
qa	92	Auditioning a second narration voice before the first answers clears the spinner and can show the wrong voice-fallback notice	refuted	audit verifier	refuted by the 2026-09-22 adversarial verifier; kept so it is not re-raised
qa	93	`body.fy-sheet-open` is in `PERSISTENT_BODY_CLASSES`, so the Foray feedback sheet leaves a modal scroll-lock class behind when the page navigates	fixed	L3 (merge 3d734d2); sweep (PR #742) re-verified	fy-sheet-open left PERSISTENT_BODY_CLASSES and is derived from the sheet stack
qa	94	Show page subtitle says "7 episodes" over a body that shows none — the 2026-09-21 fix broke its own premise	fixed	L5-states-boot (merge 4c8dcb8, PR #742); 552072a	subtitle and body share one outcome writer
qa	95	Up Next says "Episode no longer available" for every episode added from a show page	fixed	L1-identity-nav (merge d4e8725, PR #742)	liveEpisode(): pool member OR held snapshot with audio_url; addToQueue writes the snapshot
qa	96	Library → History reads "No longer available" for every episode you actually played from a show page	fixed	L1-identity-nav (merge d4e8725, PR #742)	recordHistory() is the one cp_history writer and stores the snapshot
qa	97	Library → Saved renders a starred show-page episode as unplayable, though its snapshot carries audio_url	fixed	L1-identity-nav (merge d4e8725, PR #742)	a saved snapshot with audio_url resolves live
qa	98	Shows search flashes "No results for X." on the keystroke, before any of the four network passes has run	fixed	L5-states-boot (merge 4c8dcb8, PR #742); 9f15bdc	'Searching for …' until every pass has answered
qa	99	#/forays says "0 forays" and "No forays right now" whenever the player module has not evaluated, and never corrects itself	fixed	L5-states-boot (merge 4c8dcb8, PR #742); 552072a, 0341fa5	#/forays waits for the player with a time limit; failure offers Try again
qa	100	Home is a bare greeting when any data file fails to load — a success state with zero content	refuted	audit verifier	refuted by the 2026-09-22 adversarial verifier; kept so it is not re-raised
qa	101	Cold boot shows an empty page with no loading state at all	fixed	L5-states-boot (merge 4c8dcb8, PR #742); 4d371a5	boot line before the first await; Try again on failure; search documents load after first route
qa	102	The Shows page's browse-subject pills land on "No results for …" for a third of the taxonomy	fixed	L5-states-boot (merge 4c8dcb8, PR #742)	no 'No results' until every endpoint replied; a subject's name offers its categories
qa	103	"Showing shows available offline" outlives the search it explained	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	the offline note is hidden with the results it explained
qa	104	Up Next auto-advance stops silently at any episode added from a show page	fixed	L1-identity-nav (merge d4e8725, PR #742)	auto-advance resolves the next item through liveEpisode
qa	105	"Episode not found." / "Show not found." / "Loading show…" pages have no back button	fixed	L5-states-boot (merge 4c8dcb8, PR #742)	every status page has a head with a back link
qa	106	A show with zero episodes loses its publisher description	fixed	L5-states-boot (merge 4c8dcb8, PR #742)	the publisher description paints before any outcome branch
qa	107	"1 parts" on three surfaces	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	playlistLengthLabel: '1 episode' / 'N episodes' everywhere
qa	108	Library's empty-playlists state points at a control Home no longer has	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	Library's empty playlists links to Create
qa	109	Episode rows show a dangling " · " when the feed carries no duration	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	joinMeta drops empty pieces
qa	110	#/shows reads "No shows here yet." when the catalogue file failed to load	fixed	L5-states-boot (merge 4c8dcb8, PR #742)	#/shows with no catalogue says so with Try again
qa	111	The Now Playing sheet keeps an empty paragraph's worth of gap where the hook and the timing note would be	fixed	L5-states-boot (merge 4c8dcb8, PR #742); 3e51892	empty hook and timing note are hidden
qa	112	The playlist builder leaves the previous query's failure note up while building the next one	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	the builder hides the old note before building
qa	113	A cached show page claims "couldn't refresh just now" before any refresh has been attempted	fixed	L5-states-boot (merge 4c8dcb8, PR #742)	'couldn't refresh' only after a refresh failed
qa	114	Show A's episode list paints into show B's page — the "still mounted" guard only checks that *some* show page is on screen	fixed	L1-identity-nav (merge d4e8725, PR #742)	same defect as qa 83
qa	115	Back-step scroll restore fires before async pages have painted, so the position is lost AND the memory is overwritten with 0	fixed	L1-identity-nav (merge d4e8725, PR #742); 9b58401	a clamped back-step restore is kept and re-applied by pageDidPaint(); an owed restore expires
qa	116	Reloading or sharing a subject-queue page (#/subject/:branch) says "Playlist not found" — the four branches are re-dealt at random on every load, with a penalty against the ones you just saw	fixed	L1-identity-nav (merge d4e8725, PR #742)	#/subject/<branch> answers for any real branch, deterministically
qa	117	After removing a playlist reached from anywhere but #/playlists, ‹ lands back on the playlist that was just deleted	fixed	L1-identity-nav (merge d4e8725, PR #742)	removing a playlist rewrites its history entry in place
qa	118	A malformed percent-escape in a #/show/, #/category/ or #/foray/ hash throws out of route() — and on a cold load that kills init() before the hashchange listener is ever bound, so the whole app is dead until reload	fixed	L1-identity-nav (merge d4e8725, PR #742)	safeDecode on every param route; init() survives a throwing first route
qa	119	#/playlist/ and #/subject/ are the two routes that still never decode their param, while one live link generator encodes it	fixed	L1-identity-nav (merge d4e8725, PR #742)	#/playlist/ and #/subject/ decode; every producer uses playlistRoute()
qa	120	Tapping a browse pill on the Search tab un-highlights the Search tab	fixed	L1-identity-nav (merge d4e8725, PR #742)	tabForHash matches shows($|/)
qa	121	The Interests page highlights no tab at all	fixed	L1-identity-nav (merge d4e8725, PR #742)	#/interests lights Library
qa	122	An unrecognised hash renders the Home screen but lights no tab	fixed	L1-identity-nav (merge d4e8725, PR #742)	an unknown hash lights Home, matching the router's fallback
qa	123	"Open episode" on the restored now-playing bar leads to "Episode not found" for the episode that is playing	fixed	L1-identity-nav (merge d4e8725, PR #742)	resolveEpisode reads the player's pointer and stored snapshots
qa	124	#/show/pi:<n> is a route the app links to that can never render after a reload	fixed	L1-identity-nav (merge d4e8725, PR #742)	visited and followed pi: shows are remembered; a miss is a real not-found page
qa	125	Every "not found" page is a dead end: no page-head, no ‹	fixed	L1-identity-nav (merge d4e8725, PR #742)	notFoundPage() with a back link on every miss
qa	126	Coming back from a show loses the show search you did to find it	fixed	L1-identity-nav (merge d4e8725, PR #742)	a settled Search query lives in #/shows/q/<q>
qa	127	Coming back from an episode loses the in-show episode search	fixed	L1-identity-nav (merge d4e8725, PR #742); 69dfb20	a show route carries /q/<query> and re-runs it on return
qa	128	"Create a playlist about X" inserts a phantom #/playlists step, so ‹ from the new playlist lands on a page the listener never visited	refuted	audit verifier	refuted by the 2026-09-22 adversarial verifier; kept so it is not re-raised
qa	129	A ?foray= link permanently hijacks Home: reloading while on the home screen bounces back to the Foray	fixed	L1-identity-nav (merge d4e8725, PR #742)	?foray= enters its Foray once per tab; the unlock param stays
qa	130	noteNavigation counts a forward tap onto the page two steps back as a back-step, so a tab tap restores an old scroll position instead of starting at the top	fixed	L1-identity-nav (merge d4e8725, PR #742)	the back/forward step is read from history.state {fyIdx}
qa	131	Tapping the tab you are already on does nothing — not even scroll to top	fixed	L1-identity-nav (merge d4e8725, PR #742)	tapping the current tab scrolls to the top
qa	132	Three spellings of Home mean the first Home-tab tap of a session costs a dead back press	fixed	L1-identity-nav (merge d4e8725, PR #742)	one spelling of Home; a bare hash is rewritten to #/ in place
qa	133	Clearing the show search leaves the query in the URL, so a reload or back-step brings it back	fixed	L1-identity-nav (merge d4e8725, PR #742)	clearing the show search rewrites the address to #/shows
qa	134	Error copy tells the listener to "Pull to refresh" — no pull-to-refresh exists anywhere	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	no 'pull to refresh'; Try again added by L5
qa	135	Library's empty playlist state sends the listener to a screen with no playlist builder	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	same as qa 108
qa	136	Home mini-card renders double punctuation: Starts with "…Save The World?."	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	startsWithLine adds a full stop only when needed
qa	137	The same playlist length is "N parts" on three screens and "N episodes" on two, and only one of the five pluralises	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	one noun through one helper on all five surfaces
qa	138	Stale-shell banner offers "Reload to get the current version" — the code's own comment says reloading reproduces the state	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	stale-shell and generation notices each give the remedy that works
qa	139	The product noun "Foray" is capitalised in half the user-facing strings and lowercase in the other half — including twice on one screen	refuted	audit verifier	refuted by the 2026-09-22 adversarial verifier; kept so it is not re-raised
qa	140	"Starred Shows" on the page, "Starred shows" on the link that opens it	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	'Followed shows' on page and link
qa	141	Browser-centric copy in a shipping native app: "Your browser held the audio back", "reload the page", "This browser has taken storage away"	fixed	L4-copy-labels (merge dd4ddcf, PR #742); L6-persist-settings (merge c9273f7, PR #742)	no browser/page copy in the app; the storage line rewritten by L6
qa	142	An aged-out playlist part states its unavailability twice, in two different wordings, on one row	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	one unavailability statement per row
qa	143	"0 key(s) would not clear." — a lazy plural and developer jargon in the delete-my-data result	fixed	L6 (merge c9273f7); a10ea07	handed to L6: deviceNotClearReason gives plain reasons, no count, no 'key'
qa	144	The Playlists page prints a raw locale date ("9/21/2026") while every other date in the app goes through fmtDate ("Sep 21, 2026")	fixed	L4-copy-labels (merge dd4ddcf, PR #742); c30dc99	playedOnLabel via fmtDate, local time
qa	145	A Foray's pieces are called segments, clips, parts and beats — all user-visible, sometimes on the same screen	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	the listener word is 'clip' in app and player copy
qa	146	Agent-generated Foray titles are Title Case with no closing period, next to sentence-case curated ones in the same rail	deferred-founder	L8-foray-data (PR #741)	no house rule for Foray title case/summary punctuation; the generator writes these fields; founder question
qa	147	fmtDur renders an exact hour as "1h 0m" — 49 episodes in the shipped pool	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	fmtDur renders an exact hour as '1h'
qa	148	On short screens the mini-card hook is clamped to one line, hiding the only concrete thing it says	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	the hook leads with 'Starts with' so the clamp keeps the title
qa	149	"today's queue" and "a daily podcast picker" promise a daily cadence buildCards() does not have	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	'today's queue' became 'picked for you'; the 'daily' tagline is a founder question
qa	150	The episode star announces "Save" — never the state, and in a different word from every other star surface	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	same fix as qa 67
qa	151	The same idea is "your usual topics" in one Home tooltip and "your usual subjects" in the bridge line beneath it	fixed	L4-copy-labels (merge dd4ddcf, PR #742)	'usual subjects' everywhere
qa	152	session.json's fit_line field carries four commute-length violations and no test gates it	open	handed from L4 to L8; not taken by PR #741	data/session.json fit_line/archetype_label carry commute framing and no test gates them. Not rendered by app.js or player/ (only backend/src/curation/sessionBuilder.ts writes fit_line), so outside this branch's files; belongs with the backend copyRules gate
qa	153	Library's subtitle lists its sections in an order the page does not use, and page subtitles have three incompatible shapes	fixed	L1 (merge d4e8725); sweep (PR #742) re-verified	the Library subtitle lists its sections in page order; one subtitle shape across pages is not settled
qa	154	A write localStorage refuses but IndexedDB accepts is silently reverted on the next launch — and the good durable copy is overwritten with the stale one	fixed	L6-persist-settings (merge c9273f7, PR #742); b37004d	cp_storage_stale ledger: a refused local write loses to the durable row next launch
qa	155	Pressing play on an episode you already finished starts it ~15 seconds before the end — `_loadItem` reads the raw stored position, never `resumeOffset`	fixed	L2 (merge b6c75e9); 21c3d21; sweep (PR #742) re-verified	_savedPositionFor reads PositionStore.resumeOffset
qa	156	Restored mini bar shows 0:00 for a finished episode and then plays its last seconds — the restore path skips its seek when the offset is 0	fixed	L2 (merge b6c75e9); 21c3d21, 3cea06a; sweep (PR #742) re-verified	a finished episode's play starts at the top (resumeOffset); a moved restored thumb is always sought
